Rank,Team,GM,W-L,AST,APG
285,A&M-Corpus Christi (Southland),31,10-21,350,11.3
28,Air Force (Mountain West),32,16-16,494,15.4
67,Akron (MAC),36,23-13,520,14.4
227,Alabama A&M (SWAC),28,13-15,339,12.1
272,Alabama St. (SWAC),35,17-18,404,11.5
211,Alabama (SEC),37,25-12,454,12.3
266,Albany (NY) (America East),32,16-16,371,11.6
334,Alcorn (SWAC),28,4-24,255,9.1
100,American (Patriot),31,22-9,430,13.9
308,App State (SoCon),31,16-15,327,10.5
48,Arizona St. (Pac-12),31,12-19,463,14.9
86,Arizona (Pac-12),38,30-8,536,14.1
274,Ark.-Pine Bluff (SWAC),31,7-24,357,11.5
283,Arkansas St. (Sun Belt),32,17-15,362,11.3
232,Arkansas (SEC),31,18-13,373,12
127,Army West Point (Patriot),30,11-19,404,13.5
290,Auburn (SEC),31,11-20,349,11.3
78,Austin Peay (OVC),34,20-14,484,14.2
114,Ball St. (MAC),32,19-13,436,13.6
254,Baylor (Big 12),31,18-13,365,11.8
16,Belmont (ASUN),35,30-5,569,16.3
270,Bethune-Cookman (MEAC),34,21-13,393,11.6
301,Binghamton (America East),31,8-23,339,10.9
167,Boise St. (WAC),35,22-13,449,12.8
36,Boston College (ACC),34,21-13,517,15.2
322,Boston U. (America East),35,21-14,345,9.9
109,Bowling Green (MAC),33,14-19,452,13.7
260,Bradley (MVC),32,12-20,374,11.7
77,Brown (Ivy League),28,11-17,399,14.3
65,Bucknell (Patriot),34,25-9,492,14.5
90,Buffalo (MAC),34,20-14,478,14.1
243,Butler (Horizon),38,28-10,452,11.9
61,BYU (Mountain West),37,32-5,538,14.5
294,Cal Poly (Big West),30,15-15,336,11.2
174,Cal St. Fullerton (Big West),31,11-20,393,12.7
47,California (Pac-12),33,18-15,493,14.9
108,Campbell (ASUN),31,12-19,425,13.7
46,Canisius (MAAC),30,15-15,449,15
323,Centenary (LA) (Summit League),30,1-29,294,9.8
240,Central Ark. (Southland),29,5-24,346,11.9
57,Central Conn. St. (NEC),31,19-12,452,14.6
335,Central Mich. (MAC),31,10-21,271,8.7
185,Charleston So. (Big South),32,16-16,401,12.5
255,Charlotte (Atlantic 10),30,10-20,353,11.8
94,Chattanooga (SoCon),32,16-16,447,14
213,Chicago St. (Chicago St.),32,6-26,392,12.3
82,Cincinnati (AAC),35,26-9,497,14.2
151,Clemson (ACC),34,22-12,445,13.1
249,Cleveland St. (Horizon),36,27-9,427,11.9
32,Coastal Carolina (Big South),34,28-6,521,15.3
131,Col. of Charleston (SoCon),37,26-11,497,13.4
180,Colgate (Patriot),30,7-23,379,12.6
143,Colorado St. (Mountain West),32,19-13,424,13.3
103,Colorado (Big 12),38,24-14,524,13.8
268,Columbia (Ivy League),28,15-13,324,11.6
275,Coppin St. (MEAC),30,16-14,344,11.5
63,Cornell (Ivy League),28,10-18,406,14.5
60,Creighton (MVC),39,23-16,568,14.6
256,CSU Bakersfield (CSU Bakersfield),28,9-19,329,11.8
171,CSUN (Big West),32,14-18,407,12.7
333,Dartmouth (Ivy League),28,5-23,257,9.2
163,Davidson (SoCon),33,18-15,425,12.9
56,Dayton (Atlantic 10),36,22-14,525,14.6
269,Delaware St. (MEAC),30,9-21,347,11.6
313,Delaware (CAA),31,14-17,323,10.4
145,Denver (Sun Belt),30,13-17,397,13.2
68,DePaul (AAC),31,7-24,446,14.4
209,Detroit Mercy (Horizon),33,17-16,405,12.3
267,Drake (MVC),31,13-18,359,11.6
292,Drexel (CAA),31,21-10,348,11.2
73,Duke (ACC),37,32-5,529,14.3
1,Duquesne (Atlantic 10),32,19-13,571,17.8
161,East Carolina (C-USA),34,18-16,440,12.9
181,Eastern Ill. (OVC),29,9-20,366,12.6
89,Eastern Ky. (OVC),31,15-16,436,14.1
152,Eastern Mich. (MAC),31,9-22,404,13
247,Eastern Wash. (Big Sky),30,10-20,356,11.9
91,Elon (SoCon),31,14-17,435,14
303,ETSU (ASUN),36,24-12,390,10.8
84,Evansville (MVC),32,16-16,452,14.1
109,Fairfield (MAAC),33,25-8,452,13.7
262,Fairleigh Dickinson (NEC),29,5-24,338,11.7
305,FIU (Sun Belt),30,11-19,320,10.7
197,Fla. Atlantic (Sun Belt),32,21-11,396,12.4
331,Florida A&M (MEAC),32,12-20,298,9.3
194,Florida St. (ACC),34,23-11,423,12.4
88,Florida (SEC),37,29-8,521,14.1
187,Fordham (Atlantic 10),28,7-21,350,12.5
79,Fresno St. (WAC),31,14-17,441,14.2
217,Furman (SoCon),33,22-11,404,12.2
241,Ga. Southern (SoCon),32,5-27,381,11.9
314,Gardner-Webb (Big South),32,11-21,333,10.4
81,George Mason (CAA),34,27-7,483,14.2
239,George Washington (Atlantic 10),31,17-14,371,12
39,Georgetown (AAC),32,21-11,481,15
152,Georgia St. (CAA),31,12-19,404,13
148,Georgia Tech (ACC),31,13-18,408,13.2
42,Georgia (SEC),33,21-12,495,15
26,Gonzaga (WCC),35,25-10,542,15.5
316,Grambling (SWAC),33,12-21,338,10.2
253,Green Bay (Horizon),32,14-18,377,11.8
258,Hampton (MEAC),33,24-9,387,11.7
250,Hartford (America East),31,11-20,367,11.8
72,Harvard (Ivy League),30,23-7,429,14.3
245,Hawaii (WAC),32,19-13,380,11.9
298,High Point (Big South),31,12-19,342,11
121,Hofstra (CAA),33,21-12,448,13.6
141,Holy Cross (Patriot),29,8-21,385,13.3
127,Houston (C-USA),30,12-18,404,13.5
332,Howard (MEAC),30,6-24,279,9.3
328,Idaho St. (Big Sky),29,9-20,277,9.6
80,Idaho (WAC),32,18-14,455,14.2
296,Illinois St. (MVC),31,12-19,346,11.2
10,Illinois (Big Ten),34,20-14,568,16.7
