Rank,Team,GM,W-L,AST,TO,Ratio
327,A&M-Corpus Christi (Southland),31,10-21,350,540,0.65
28,Air Force (Mountain West),32,16-16,494,386,1.28
45,Akron (MAC),36,23-13,520,432,1.20
292,Alabama A&M (SWAC),28,13-15,339,444,0.76
303,Alabama St. (SWAC),35,17-18,404,551,0.73
224,Alabama (SEC),37,25-12,454,516,0.88
209,Albany (NY) (America East),32,16-16,371,411,0.90
334,Alcorn (SWAC),28,4-24,255,473,0.54
33,American (Patriot),31,22-9,430,346,1.24
262,App State (SoCon),31,16-15,327,403,0.81
41,Arizona St. (Pac-12),31,12-19,463,379,1.22
85,Arizona (Pac-12),38,30-8,536,484,1.11
321,Ark.-Pine Bluff (SWAC),31,7-24,357,518,0.69
231,Arkansas St. (Sun Belt),32,17-15,362,418,0.87
206,Arkansas (SEC),31,18-13,373,411,0.91
171,Army West Point (Patriot),30,11-19,404,424,0.95
274,Auburn (SEC),31,11-20,349,440,0.79
136,Austin Peay (OVC),34,20-14,484,485,1.00
108,Ball St. (MAC),32,19-13,436,414,1.05
294,Baylor (Big 12),31,18-13,365,487,0.75
54,Belmont (ASUN),35,30-5,569,481,1.18
177,Bethune-Cookman (MEAC),34,21-13,393,415,0.95
222,Binghamton (America East),31,8-23,339,384,0.88
107,Boise St. (WAC),35,22-13,449,425,1.06
13,Boston College (ACC),34,21-13,517,376,1.38
255,Boston U. (America East),35,21-14,345,418,0.83
126,Bowling Green (MAC),33,14-19,452,444,1.02
162,Bradley (MVC),32,12-20,374,390,0.96
60,Brown (Ivy League),28,11-17,399,343,1.16
23,Bucknell (Patriot),34,25-9,492,380,1.29
204,Buffalo (MAC),34,20-14,478,524,0.91
96,Butler (Horizon),38,28-10,452,416,1.09
16,BYU (Mountain West),37,32-5,538,404,1.33
183,Cal Poly (Big West),30,15-15,336,356,0.94
214,Cal St. Fullerton (Big West),31,11-20,393,439,0.90
92,California (Pac-12),33,18-15,493,449,1.10
170,Campbell (ASUN),31,12-19,425,446,0.95
98,Canisius (MAAC),30,15-15,449,414,1.08
335,Centenary (LA) (Summit League),30,1-29,294,548,0.54
301,Central Ark. (Southland),29,5-24,346,468,0.74
130,Central Conn. St. (NEC),31,19-12,452,447,1.01
328,Central Mich. (MAC),31,10-21,271,419,0.65
223,Charleston So. (Big South),32,16-16,401,455,0.88
277,Charlotte (Atlantic 10),30,10-20,353,447,0.79
196,Chattanooga (SoCon),32,16-16,447,484,0.92
311,Chicago St. (Chicago St.),32,6-26,392,550,0.71
35,Cincinnati (AAC),35,26-9,497,401,1.24
142,Clemson (ACC),34,22-12,445,449,0.99
117,Cleveland St. (Horizon),36,27-9,427,412,1.04
56,Coastal Carolina (Big South),34,28-6,521,443,1.18
83,Col. of Charleston (SoCon),37,26-11,497,448,1.11
272,Colgate (Patriot),30,7-23,379,475,0.80
184,Colorado St. (Mountain West),32,19-13,424,450,0.94
58,Colorado (Big 12),38,24-14,524,446,1.17
191,Columbia (Ivy League),28,15-13,324,348,0.93
246,Coppin St. (MEAC),30,16-14,344,410,0.84
47,Cornell (Ivy League),28,10-18,406,338,1.20
43,Creighton (MVC),39,23-16,568,470,1.21
236,CSU Bakersfield (CSU Bakersfield),28,9-19,329,382,0.86
265,CSUN (Big West),32,14-18,407,504,0.81
322,Dartmouth (Ivy League),28,5-23,257,383,0.67
203,Davidson (SoCon),33,18-15,425,465,0.91
88,Dayton (Atlantic 10),36,22-14,525,477,1.10
118,Delaware St. (MEAC),30,9-21,347,335,1.04
220,Delaware (CAA),31,14-17,323,365,0.88
103,Denver (Sun Belt),30,13-17,397,371,1.07
106,DePaul (AAC),31,7-24,446,420,1.06
280,Detroit Mercy (Horizon),33,17-16,405,517,0.78
172,Drake (MVC),31,13-18,359,377,0.95
185,Drexel (CAA),31,21-10,348,370,0.94
53,Duke (ACC),37,32-5,529,447,1.18
15,Duquesne (Atlantic 10),32,19-13,571,428,1.33
198,East Carolina (C-USA),34,18-16,440,478,0.92
