Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
143,A&M-Corpus Christi (Southland),31,10-21,"1,045",33.7,"1,011",32.6,1.1
321,Air Force (Mountain West),32,16-16,918,28.7,"1,109",34.7,-6
277,Akron (MAC),36,23-13,"1,238",34.4,"1,345",37.4,-3
243,Alabama A&M (SWAC),28,13-15,"1,058",37.8,"1,109",39.6,-1.8
153,Alabama St. (SWAC),35,17-18,"1,271",36.3,"1,242",35.5,0.8
88,Alabama (SEC),37,25-12,"1,339",36.2,"1,238",33.5,2.7
103,Albany (NY) (America East),32,16-16,"1,155",36.1,"1,080",33.8,2.3
335,Alcorn (SWAC),28,4-24,992,35.4,"1,290",46.1,-10.6
75,American (Patriot),31,22-9,"1,044",33.7,948,30.6,3.1
189,App State (SoCon),31,16-15,"1,067",34.4,"1,070",34.5,-0.1
293,Arizona St. (Pac-12),31,12-19,991,32,"1,102",35.5,-3.6
50,Arizona (Pac-12),38,30-8,"1,319",34.7,"1,167",30.7,4
310,Ark.-Pine Bluff (SWAC),31,7-24,987,31.8,"1,127",36.4,-4.5
33,Arkansas St. (Sun Belt),32,17-15,"1,177",36.8,"1,030",32.2,4.6
275,Arkansas (SEC),31,18-13,"1,063",34.3,"1,153",37.2,-2.9
244,Army West Point (Patriot),30,11-19,"1,020",34,"1,075",35.8,-1.8
210,Auburn (SEC),31,11-20,"1,067",34.4,"1,095",35.3,-0.9
139,Austin Peay (OVC),34,20-14,"1,227",36.1,"1,186",34.9,1.2
171,Ball St. (MAC),32,19-13,"1,077",33.7,"1,064",33.3,0.4
40,Baylor (Big 12),31,18-13,"1,088",35.1,953,30.7,4.4
65,Belmont (ASUN),35,30-5,"1,258",35.9,"1,137",32.5,3.5
198,Bethune-Cookman (MEAC),34,21-13,"1,094",32.2,"1,108",32.6,-0.4
314,Binghamton (America East),31,8-23,959,30.9,"1,119",36.1,-5.2
159,Boise St. (WAC),35,22-13,"1,158",33.1,"1,137",32.5,0.6
206,Boston College (ACC),34,21-13,"1,091",32.1,"1,116",32.8,-0.7
174,Boston U. (America East),35,21-14,"1,249",35.7,"1,236",35.3,0.4
270,Bowling Green (MAC),33,14-19,"1,099",33.3,"1,184",35.9,-2.6
264,Bradley (MVC),32,12-20,"1,048",32.8,"1,123",35.1,-2.3
254,Brown (Ivy League),28,11-17,959,34.3,"1,018",36.4,-2.1
197,Bucknell (Patriot),34,25-9,"1,149",33.8,"1,162",34.2,-0.4
68,Buffalo (MAC),34,20-14,"1,205",35.4,"1,090",32.1,3.4
76,Butler (Horizon),38,28-10,"1,337",35.2,"1,220",32.1,3.1
84,BYU (Mountain West),37,32-5,"1,425",38.5,"1,320",35.7,2.8
187,Cal Poly (Big West),30,15-15,"1,020",34,"1,019",34,0
201,Cal St. Fullerton (Big West),31,11-20,"1,036",33.4,"1,052",33.9,-0.5
113,California (Pac-12),33,18-15,"1,153",34.9,"1,083",32.8,2.1
189,Campbell (ASUN),31,12-19,"1,023",33,"1,026",33.1,-0.1
214,Canisius (MAAC),30,15-15,"1,063",35.4,"1,093",36.4,-1
331,Centenary (LA) (Summit League),30,1-29,892,29.7,"1,161",38.7,-9
299,Central Ark. (Southland),29,5-24,965,33.3,"1,077",37.1,-3.9
132,Central Conn. St. (NEC),31,19-12,"1,123",36.2,"1,076",34.7,1.5
220,Central Mich. (MAC),31,10-21,"1,026",33.1,"1,063",34.3,-1.2
54,Charleston So. (Big South),32,16-16,"1,177",36.8,"1,056",33,3.8
162,Charlotte (Atlantic 10),30,10-20,"1,057",35.2,"1,040",34.7,0.6
72,Chattanooga (SoCon),32,16-16,"1,232",38.5,"1,131",35.3,3.2
324,Chicago St. (Chicago St.),32,6-26,"1,137",35.5,"1,336",41.8,-6.2
43,Cincinnati (AAC),35,26-9,"1,237",35.3,"1,088",31.1,4.3
128,Clemson (ACC),34,22-12,"1,177",34.6,"1,122",33,1.6
221,Cleveland St. (Horizon),36,27-9,"1,214",33.7,"1,257",34.9,-1.2
11,Coastal Carolina (Big South),34,28-6,"1,339",39.4,"1,099",32.3,7.1
208,Col. of Charleston (SoCon),37,26-11,"1,278",34.5,"1,307",35.3,-0.8
186,Colgate (Patriot),30,7-23,"1,023",34.1,"1,021",34,0.1
131,Colorado St. (Mountain West),32,19-13,"1,093",34.2,"1,044",32.6,1.5
86,Colorado (Big 12),38,24-14,"1,367",36,"1,261",33.2,2.8
61,Columbia (Ivy League),28,15-13,"1,026",36.6,927,33.1,3.5
244,Coppin St. (MEAC),30,16-14,"1,084",36.1,"1,139",38,-1.8
290,Cornell (Ivy League),28,10-18,906,32.4,"1,003",35.8,-3.5
51,Creighton (MVC),39,23-16,"1,350",34.6,"1,198",30.7,3.9
313,CSU Bakersfield (CSU Bakersfield),28,9-19,947,33.8,"1,091",39,-5.1
172,CSUN (Big West),32,14-18,"1,111",34.7,"1,099",34.3,0.4
327,Dartmouth (Ivy League),28,5-23,860,30.7,"1,063",38,-7.3
44,Davidson (SoCon),33,18-15,"1,214",36.8,"1,074",32.5,4.2
30,Dayton (Atlantic 10),36,22-14,"1,392",38.7,"1,220",33.9,4.8
334,Delaware St. (MEAC),30,9-21,759,25.3,"1,049",35,-9.7
258,Delaware (CAA),31,14-17,"1,024",33,"1,092",35.2,-2.2
320,Denver (Sun Belt),30,13-17,718,23.9,890,29.7,-5.7
329,DePaul (AAC),31,7-24,944,30.5,"1,183",38.2,-7.7
67,Detroit Mercy (Horizon),33,17-16,"1,237",37.5,"1,124",34.1,3.4
319,Drake (MVC),31,13-18,931,30,"1,103",35.6,-5.5
3,Drexel (CAA),31,21-10,"1,249",40.3,956,30.8,9.5
90,Duke (ACC),37,32-5,"1,399",37.8,"1,299",35.1,2.7
