Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
309,A&M-Corpus Christi (Southland),31,10-21,"1,943",62.7,"2,194",70.8,-8.1
196,Air Force (Mountain West),32,16-16,"2,074",64.8,"2,082",65.1,-0.3
91,Akron (MAC),36,23-13,"2,524",70.1,"2,365",65.7,4.4
234,Alabama A&M (SWAC),28,13-15,"1,808",64.6,"1,870",66.8,-2.2
237,Alabama St. (SWAC),35,17-18,"2,146",61.3,"2,234",63.8,-2.5
42,Alabama (SEC),37,25-12,"2,473",66.8,"2,198",59.4,7.4
214,Albany (NY) (America East),32,16-16,"2,013",62.9,"2,048",64,-1.1
332,Alcorn (SWAC),28,4-24,"1,838",65.6,"2,258",80.6,-15
136,American (Patriot),31,22-9,"2,051",66.2,"1,973",63.6,2.5
194,App State (SoCon),31,16-15,"2,265",73.1,"2,269",73.2,-0.1
245,Arizona St. (Pac-12),31,12-19,"1,983",64,"2,073",66.9,-2.9
33,Arizona (Pac-12),38,30-8,"2,905",76.4,"2,580",67.9,8.6
328,Ark.-Pine Bluff (SWAC),31,7-24,"1,850",59.7,"2,221",71.6,-12
108,Arkansas St. (Sun Belt),32,17-15,"2,188",68.4,"2,066",64.6,3.8
105,Arkansas (SEC),31,18-13,"2,191",70.7,"2,069",66.7,3.9
255,Army West Point (Patriot),30,11-19,"2,038",67.9,"2,141",71.4,-3.4
260,Auburn (SEC),31,11-20,"1,933",62.4,"2,051",66.2,-3.8
58,Austin Peay (OVC),34,20-14,"2,510",73.8,"2,279",67,6.8
113,Ball St. (MAC),32,19-13,"2,164",67.6,"2,049",64,3.6
78,Baylor (Big 12),31,18-13,"2,154",69.5,"1,984",64,5.5
1,Belmont (ASUN),35,30-5,"2,790",79.7,"2,178",62.2,17.5
190,Bethune-Cookman (MEAC),34,21-13,"2,241",65.9,"2,240",65.9,0
311,Binghamton (America East),31,8-23,"1,861",60,"2,123",68.5,-8.5
69,Boise St. (WAC),35,22-13,"2,594",74.1,"2,382",68.1,6.1
139,Boston College (ACC),34,21-13,"2,440",71.8,"2,356",69.3,2.5
161,Boston U. (America East),35,21-14,"2,270",64.9,"2,222",63.5,1.4
248,Bowling Green (MAC),33,14-19,"2,116",64.1,"2,215",67.1,-3
241,Bradley (MVC),32,12-20,"2,076",64.9,"2,164",67.6,-2.8
227,Brown (Ivy League),28,11-17,"2,002",71.5,"2,054",73.4,-1.9
64,Bucknell (Patriot),34,25-9,"2,387",70.2,"2,174",63.9,6.3
70,Buffalo (MAC),34,20-14,"2,399",70.6,"2,197",64.6,5.9
51,Butler (Horizon),38,28-10,"2,707",71.2,"2,437",64.1,7.1
5,BYU (Mountain West),37,32-5,"3,012",81.4,"2,512",67.9,13.5
180,Cal Poly (Big West),30,15-15,"1,779",59.3,"1,766",58.9,0.4
260,Cal St. Fullerton (Big West),31,11-20,"2,208",71.2,"2,326",75,-3.8
185,California (Pac-12),33,18-15,"2,391",72.5,"2,382",72.2,0.3
228,Campbell (ASUN),31,12-19,"2,032",65.5,"2,091",67.5,-1.9
175,Canisius (MAAC),30,15-15,"2,043",68.1,"2,024",67.5,0.6
335,Centenary (LA) (Summit League),30,1-29,"1,775",59.2,"2,422",80.7,-21.6
307,Central Ark. (Southland),29,5-24,"1,984",68.4,"2,216",76.4,-8
102,Central Conn. St. (NEC),31,19-12,"2,170",70,"2,045",66,4
288,Central Mich. (MAC),31,10-21,"1,841",59.4,"2,006",64.7,-5.3
83,Charleston So. (Big South),32,16-16,"2,362",73.8,"2,197",68.7,5.2
274,Charlotte (Atlantic 10),30,10-20,"1,997",66.6,"2,130",71,-4.4
253,Chattanooga (SoCon),32,16-16,"2,274",71.1,"2,380",74.4,-3.3
334,Chicago St. (Chicago St.),32,6-26,"2,128",66.5,"2,772",86.6,-20.1
24,Cincinnati (AAC),35,26-9,"2,412",68.9,"2,086",59.6,9.3
49,Clemson (ACC),34,22-12,"2,330",68.5,"2,086",61.4,7.2
45,Cleveland St. (Horizon),36,27-9,"2,556",71,"2,291",63.6,7.4
12,Coastal Carolina (Big South),34,28-6,"2,597",76.4,"2,178",64.1,12.3
