Rank,Team,GM,W-L,PTS,PPG
294,A&M-Corpus Christi (Southland),31,10-21,"1,943",62.7
268,Air Force (Mountain West),32,16-16,"2,074",64.8
128,Akron (MAC),36,23-13,"2,524",70.1
271,Alabama A&M (SWAC),28,13-15,"1,808",64.6
306,Alabama St. (SWAC),35,17-18,"2,146",61.3
224,Alabama (SEC),37,25-12,"2,473",66.8
292,Albany (NY) (America East),32,16-16,"2,013",62.9
254,Alcorn (SWAC),28,4-24,"1,838",65.6
244,American (Patriot),31,22-9,"2,051",66.2
64,App State (SoCon),31,16-15,"2,265",73.1
285,Arizona St. (Pac-12),31,12-19,"1,983",64
23,Arizona (Pac-12),38,30-8,"2,905",76.4
326,Ark.-Pine Bluff (SWAC),31,7-24,"1,850",59.7
179,Arkansas St. (Sun Belt),32,17-15,"2,188",68.4
114,Arkansas (SEC),31,18-13,"2,191",70.7
196,Army West Point (Patriot),30,11-19,"2,038",67.9
297,Auburn (SEC),31,11-20,"1,933",62.4
52,Austin Peay (OVC),34,20-14,"2,510",73.8
204,Ball St. (MAC),32,19-13,"2,164",67.6
150,Baylor (Big 12),31,18-13,"2,154",69.5
11,Belmont (ASUN),35,30-5,"2,790",79.7
251,Bethune-Cookman (MEAC),34,21-13,"2,241",65.9
320,Binghamton (America East),31,8-23,"1,861",60
47,Boise St. (WAC),35,22-13,"2,594",74.1
84,Boston College (ACC),34,21-13,"2,440",71.8
267,Boston U. (America East),35,21-14,"2,270",64.9
279,Bowling Green (MAC),33,14-19,"2,116",64.1
265,Bradley (MVC),32,12-20,"2,076",64.9
94,Brown (Ivy League),28,11-17,"2,002",71.5
123,Bucknell (Patriot),34,25-9,"2,387",70.2
119,Buffalo (MAC),34,20-14,"2,399",70.6
99,Butler (Horizon),38,28-10,"2,707",71.2
7,BYU (Mountain West),37,32-5,"3,012",81.4
329,Cal Poly (Big West),30,15-15,"1,779",59.3
100,Cal St. Fullerton (Big West),31,11-20,"2,208",71.2
72,California (Pac-12),33,18-15,"2,391",72.5
257,Campbell (ASUN),31,12-19,"2,032",65.5
192,Canisius (MAAC),30,15-15,"2,043",68.1
330,Centenary (LA) (Summit League),30,1-29,"1,775",59.2
178,Central Ark. (Southland),29,5-24,"1,984",68.4
134,Central Conn. St. (NEC),31,19-12,"2,170",70
328,Central Mich. (MAC),31,10-21,"1,841",59.4
53,Charleston So. (Big South),32,16-16,"2,362",73.8
229,Charlotte (Atlantic 10),30,10-20,"1,997",66.6
104,Chattanooga (SoCon),32,16-16,"2,274",71.1
231,Chicago St. (Chicago St.),32,6-26,"2,128",66.5
161,Cincinnati (AAC),35,26-9,"2,412",68.9
174,Clemson (ACC),34,22-12,"2,330",68.5
105,Cleveland St. (Horizon),36,27-9,"2,556",71
24,Coastal Carolina (Big South),34,28-6,"2,597",76.4
26,Col. of Charleston (SoCon),37,26-11,"2,821",76.2
264,Colgate (Patriot),30,7-23,"1,947",64.9
101,Colorado St. (Mountain West),32,19-13,"2,279",71.2
12,Colorado (Big 12),38,24-14,"3,025",79.6
111,Columbia (Ivy League),28,15-13,"1,982",70.8
70,Coppin St. (MEAC),30,16-14,"2,175",72.5
193,Cornell (Ivy League),28,10-18,"1,906",68.1
164,Creighton (MVC),39,23-16,"2,684",68.8
191,CSU Bakersfield (CSU Bakersfield),28,9-19,"1,907",68.1
144,CSUN (Big West),32,14-18,"2,232",69.8
327,Dartmouth (Ivy League),28,5-23,"1,667",59.5
71,Davidson (SoCon),33,18-15,"2,392",72.5
223,Dayton (Atlantic 10),36,22-14,"2,413",67
296,Delaware St. (MEAC),30,9-21,"1,874",62.5
291,Delaware (CAA),31,14-17,"1,951",62.9
321,Denver (Sun Belt),30,13-17,"1,800",60
198,DePaul (AAC),31,7-24,"2,104",67.9
42,Detroit Mercy (Horizon),33,17-16,"2,459",74.5
273,Drake (MVC),31,13-18,"1,997",64.4
287,Drexel (CAA),31,21-10,"1,975",63.7
9,Duke (ACC),37,32-5,"2,993",80.9
16,Duquesne (Atlantic 10),32,19-13,"2,494",77.9
184,East Carolina (C-USA),34,18-16,"2,319",68.2
318,Eastern Ill. (OVC),29,9-20,"1,749",60.3
247,Eastern Ky. (OVC),31,15-16,"2,046",66
304,Eastern Mich. (MAC),31,9-22,"1,906",61.5
209,Eastern Wash. (Big Sky),30,10-20,"2,023",67.4
45,Elon (SoCon),31,14-17,"2,301",74.2
139,ETSU (ASUN),36,24-12,"2,515",69.9
237,Evansville (MVC),32,16-16,"2,122",66.3
261,Fairfield (MAAC),33,25-8,"2,150",65.2
274,Fairleigh Dickinson (NEC),29,5-24,"1,866",64.3
87,FIU (Sun Belt),30,11-19,"2,150",71.7
176,Fla. Atlantic (Sun Belt),32,21-11,"2,191",68.5
278,Florida A&M (MEAC),32,12-20,"2,055",64.2
159,Florida St. (ACC),34,23-11,"2,348",69.1
78,Florida (SEC),37,29-8,"2,667",72.1
280,Fordham (Atlantic 10),28,7-21,"1,795",64.1
205,Fresno St. (WAC),31,14-17,"2,096",67.6
165,Furman (SoCon),33,22-11,"2,271",68.8
259,Ga. Southern (SoCon),32,5-27,"2,090",65.3
299,Gardner-Webb (Big South),32,11-21,"1,985",62
67,George Mason (CAA),34,27-7,"2,474",72.8
266,George Washington (Atlantic 10),31,17-14,"2,011",64.9
118,Georgetown (AAC),32,21-11,"2,258",70.6
301,Georgia St. (CAA),31,12-19,"1,919",61.9
201,Georgia Tech (ACC),31,13-18,"2,102",67.8
169,Georgia (SEC),33,21-12,"2,267",68.7
22,Gonzaga (WCC),35,25-10,"2,684",76.7
317,Grambling (SWAC),33,12-21,"1,998",60.5
211,Green Bay (Horizon),32,14-18,"2,154",67.3
228,Hampton (MEAC),33,24-9,"2,197",66.6
324,Hartford (America East),31,11-20,"1,857",59.9
96,Harvard (Ivy League),30,23-7,"2,144",71.5
155,Hawaii (WAC),32,19-13,"2,216",69.3
246,High Point (Big South),31,12-19,"2,050",66.1
113,Hofstra (CAA),33,21-12,"2,335",70.8
218,Holy Cross (Patriot),29,8-21,"1,949",67.2
168,Houston (C-USA),30,12-18,"2,061",68.7
331,Howard (MEAC),30,6-24,"1,753",58.4
269,Idaho St. (Big Sky),29,9-20,"1,878",64.8
197,Idaho (WAC),32,18-14,"2,172",67.9
307,Illinois St. (MVC),31,12-19,"1,893",61.1
108,Illinois (Big Ten),34,20-14,"2,413",71
241,Indiana St. (MVC),34,20-14,"2,253",66.3
148,Indiana (Big Ten),32,12-20,"2,226",69.6
13,Iona (MAAC),37,25-12,"2,922",79
39,Iowa St. (Big 12),32,16-16,"2,395",74.8
215,Iowa (Big Ten),31,11-20,"2,084",67.2
89,IUPUI (Summit League),33,19-14,"2,364",71.6
258,Jackson St. (SWAC),32,17-15,"2,096",65.5
310,Jacksonville St. (OVC),30,5-25,"1,828",60.9
194,Jacksonville (ASUN),32,20-12,"2,176",68
97,James Madison (CAA),33,21-12,"2,355",71.4
134,Kansas City (Summit League),30,16-14,"2,100",70
66,Kansas St. (Big 12),34,23-11,"2,477",72.9
8,Kansas (Big 12),38,35-3,"3,084",81.2
262,Kennesaw St. (ASUN),31,8-23,"2,017",65.1
107,Kent St. (MAC),37,25-12,"2,626",71
38,Kentucky (SEC),38,29-9,"2,845",74.9
20,La Salle (Atlantic 10),33,15-18,"2,536",76.8
137,Lafayette (Patriot),32,13-19,"2,237",69.9
5,Lamar University (Southland),30,13-17,"2,463",82.1
55,Lehigh (Patriot),31,16-15,"2,282",73.6
202,Liberty (Big South),32,19-13,"2,165",67.7
28,Lipscomb (ASUN),30,17-13,"2,287",76.2
183,Little Rock (Sun Belt),36,19-17,"2,457",68.3
4,LIU (NEC),33,27-6,"2,730",82.7
112,LMU (CA) (WCC),32,11-21,"2,265",70.8
60,Long Beach St. (Big West),34,22-12,"2,489",73.2
25,Longwood (Longwood),31,12-19,"2,364",76.3
281,Louisiana Tech (WAC),32,12-20,"2,051",64.1
109,Louisiana (Sun Belt),29,14-15,"2,055",70.9
37,Louisville (AAC),35,25-10,"2,623",74.9
151,Loyola Chicago (Horizon),31,16-15,"2,153",69.5
209,Loyola Maryland (MAAC),30,15-15,"2,023",67.4
298,LSU (SEC),32,11-21,"1,991",62.2
147,Maine (America East),30,15-15,"2,089",69.6
319,Manhattan (MAAC),31,6-25,"1,862",60.1
322,Marist (MAAC),33,6-27,"1,979",60
35,Marquette (AAC),37,22-15,"2,782",75.2
57,Marshall (C-USA),34,22-12,"2,499",73.5
20,Maryland (ACC),33,19-14,"2,536",76.8
240,Massachusetts (Atlantic 10),30,15-15,"1,988",66.3
46,McNeese (Southland),33,21-12,"2,446",74.1
77,Memphis (C-USA),35,25-10,"2,524",72.1
