Rank,Team,GM,W-L,TO,TOPG
332,A&M-Corpus Christi (Southland),31,10-21,540,17.4
55,Air Force (Mountain West),32,16-16,386,12.1
49,Akron (MAC),36,23-13,432,12
309,Alabama A&M (SWAC),28,13-15,444,15.9
306,Alabama St. (SWAC),35,17-18,551,15.7
211,Alabama (SEC),37,25-12,516,13.9
328,Alcorn (SWAC),28,4-24,473,16.9
24,American (Patriot),31,22-9,346,11.2
126,App State (SoCon),31,16-15,403,13
72,Arizona St. (Pac-12),31,12-19,379,12.2
106,Arizona (Pac-12),38,30-8,484,12.7
325,Ark.-Pine Bluff (SWAC),31,7-24,518,16.7
129,Arkansas St. (Sun Belt),32,17-15,418,13.1
142,Arkansas (SEC),31,18-13,411,13.3
226,Army West Point (Patriot),30,11-19,424,14.1
230,Auburn (SEC),31,11-20,440,14.2
237,Austin Peay (OVC),34,20-14,485,14.3
121,Ball St. (MAC),32,19-13,414,12.9
305,Baylor (Big 12),31,18-13,487,15.7
195,Belmont (ASUN),35,30-5,481,13.7
69,Bethune-Cookman (MEAC),34,21-13,415,12.2
85,Binghamton (America East),31,8-23,384,12.4
62,Boise St. (WAC),35,22-13,425,12.1
22,Boston College (ACC),34,21-13,376,11.1
47,Boston U. (America East),35,21-14,418,11.9
167,Bowling Green (MAC),33,14-19,444,13.5
68,Bradley (MVC),32,12-20,390,12.2
76,Brown (Ivy League),28,11-17,343,12.3
26,Bucknell (Patriot),34,25-9,380,11.2
297,Buffalo (MAC),34,20-14,524,15.4
19,Butler (Horizon),38,28-10,416,10.9
17,BYU (Mountain West),37,32-5,404,10.9
42,Cal Poly (Big West),30,15-15,356,11.9
228,Cal St. Fullerton (Big West),31,11-20,439,14.2
183,California (Pac-12),33,18-15,449,13.6
244,Campbell (ASUN),31,12-19,446,14.4
200,Canisius (MAAC),30,15-15,414,13.8
335,Centenary (LA) (Summit League),30,1-29,548,18.3
317,Central Ark. (Southland),29,5-24,468,16.1
247,Central Conn. St. (NEC),31,19-12,447,14.4
174,Central Mich. (MAC),31,10-21,419,13.5
232,Charleston So. (Big South),32,16-16,455,14.2
268,Charlotte (Atlantic 10),30,10-20,447,14.9
278,Chattanooga (SoCon),32,16-16,484,15.1
330,Chicago St. (Chicago St.),32,6-26,550,17.2
33,Cincinnati (AAC),35,26-9,401,11.5
137,Clemson (ACC),34,22-12,449,13.2
32,Cleveland St. (Horizon),36,27-9,412,11.4
127,Coastal Carolina (Big South),34,28-6,443,13
60,Col. of Charleston (SoCon),37,26-11,448,12.1
308,Colgate (Patriot),30,7-23,475,15.8
221,Colorado St. (Mountain West),32,19-13,450,14.1
37,Colorado (Big 12),38,24-14,446,11.7
86,Columbia (Ivy League),28,15-13,348,12.4
186,Coppin St. (MEAC),30,16-14,410,13.7
58,Cornell (Ivy League),28,10-18,338,12.1
54,Creighton (MVC),39,23-16,470,12.1
185,CSU Bakersfield (CSU Bakersfield),28,9-19,382,13.6
307,CSUN (Big West),32,14-18,504,15.8
190,Dartmouth (Ivy League),28,5-23,383,13.7
224,Davidson (SoCon),33,18-15,465,14.1
140,Dayton (Atlantic 10),36,22-14,477,13.3
25,Delaware St. (MEAC),30,9-21,335,11.2
38,Delaware (CAA),31,14-17,365,11.8
83,Denver (Sun Belt),30,13-17,371,12.4
178,DePaul (AAC),31,7-24,420,13.5
304,Detroit Mercy (Horizon),33,17-16,517,15.7
65,Drake (MVC),31,13-18,377,12.2
46,Drexel (CAA),31,21-10,370,11.9
59,Duke (ACC),37,32-5,447,12.1
159,Duquesne (Atlantic 10),32,19-13,428,13.4
220,East Carolina (C-USA),34,18-16,478,14.1
212,Eastern Ill. (OVC),29,9-20,405,14
57,Eastern Ky. (OVC),31,15-16,374,12.1
251,Eastern Mich. (MAC),31,9-22,449,14.5
193,Eastern Wash. (Big Sky),30,10-20,412,13.7
99,Elon (SoCon),31,14-17,391,12.6
140,ETSU (ASUN),36,24-12,477,13.3
123,Evansville (MVC),32,16-16,415,13
206,Fairfield (MAAC),33,25-8,457,13.8
281,Fairleigh Dickinson (NEC),29,5-24,439,15.1
259,FIU (Sun Belt),30,11-19,441,14.7
29,Fla. Atlantic (Sun Belt),32,21-11,360,11.3
323,Florida A&M (MEAC),32,12-20,528,16.5
313,Florida St. (ACC),34,23-11,541,15.9
71,Florida (SEC),37,29-8,452,12.2
219,Fordham (Atlantic 10),28,7-21,393,14
207,Fresno St. (WAC),31,14-17,430,13.9
138,Furman (SoCon),33,22-11,436,13.2
334,Ga. Southern (SoCon),32,5-27,575,18
264,Gardner-Webb (Big South),32,11-21,475,14.8
22,George Mason (CAA),34,27-7,376,11.1
110,George Washington (Atlantic 10),31,17-14,396,12.8
176,Georgetown (AAC),32,21-11,433,13.5
272,Georgia St. (CAA),31,12-19,463,14.9
188,Georgia Tech (ACC),31,13-18,424,13.7
167,Georgia (SEC),33,21-12,444,13.5
177,Gonzaga (WCC),35,25-10,474,13.5
295,Grambling (SWAC),33,12-21,506,15.3
133,Green Bay (Horizon),32,14-18,421,13.2
90,Hampton (MEAC),33,24-9,412,12.5
94,Hartford (America East),31,11-20,388,12.5
144,Harvard (Ivy League),30,23-7,398,13.3
311,Hawaii (WAC),32,19-13,509,15.9
280,High Point (Big South),31,12-19,469,15.1
10,Hofstra (CAA),33,21-12,346,10.5
154,Holy Cross (Patriot),29,8-21,387,13.3
285,Houston (C-USA),30,12-18,456,15.2
310,Howard (MEAC),30,6-24,476,15.9
148,Idaho St. (Big Sky),29,9-20,386,13.3
258,Idaho (WAC),32,18-14,470,14.7
157,Illinois St. (MVC),31,12-19,414,13.4
109,Illinois (Big Ten),34,20-14,434,12.8
217,Indiana St. (MVC),34,20-14,477,14
123,Indiana (Big Ten),32,12-20,415,13
100,Iona (MAAC),37,25-12,468,12.6
95,Iowa St. (Big 12),32,16-16,401,12.5
247,Iowa (Big Ten),31,11-20,447,14.4
28,IUPUI (Summit League),33,19-14,371,11.2
276,Jackson St. (SWAC),32,17-15,481,15
245,Jacksonville St. (OVC),30,5-25,432,14.4
278,Jacksonville (ASUN),32,20-12,484,15.1
108,James Madison (CAA),33,21-12,421,12.8
213,Kansas City (Summit League),30,16-14,419,14
256,Kansas St. (Big 12),34,23-11,498,14.6
153,Kansas (Big 12),38,35-3,507,13.3
240,Kennesaw St. (ASUN),31,8-23,443,14.3
115,Kent St. (MAC),37,25-12,476,12.9
12,Kentucky (SEC),38,29-9,406,10.7
303,La Salle (Atlantic 10),33,15-18,513,15.5
165,Lafayette (Patriot),32,13-19,430,13.4
288,Lamar University (Southland),30,13-17,458,15.3
122,Lehigh (Patriot),31,16-15,402,13
284,Liberty (Big South),32,19-13,486,15.2
301,Lipscomb (ASUN),30,17-13,464,15.5
45,Little Rock (Sun Belt),36,19-17,428,11.9
292,LIU (NEC),33,27-6,505,15.3
232,LMU (CA) (WCC),32,11-21,455,14.2
243,Long Beach St. (Big West),34,22-12,488,14.4
202,Longwood (Longwood),31,12-19,428,13.8
326,Louisiana Tech (WAC),32,12-20,535,16.7
298,Louisiana (Sun Belt),29,14-15,447,15.4
130,Louisville (AAC),35,25-10,459,13.1
110,Loyola Chicago (Horizon),31,16-15,396,12.8
136,Loyola Maryland (MAAC),30,15-15,396,13.2
246,LSU (SEC),32,11-21,461,14.4
117,Maine (America East),30,15-15,387,12.9
174,Manhattan (MAAC),31,6-25,419,13.5
254,Marist (MAAC),33,6-27,481,14.6
79,Marquette (AAC),37,22-15,455,12.3
145,Marshall (C-USA),34,22-12,452,13.3
184,Maryland (ACC),33,19-14,450,13.6
193,Massachusetts (Atlantic 10),30,15-15,412,13.7
70,McNeese (Southland),33,21-12,403,12.2
