Rank,Team,GM,W-L,3FG,3FGA,3FG%
38,Air Force (Mountain West),32,16-16,212,563,37.7
92,Akron (MAC),36,23-13,283,785,36.1
37,Albany (NY) (America East),32,16-16,238,631,37.7
187,American (Patriot),31,22-9,188,557,33.8
191,App State (SoCon),31,16-15,196,582,33.7
135,Arizona St. (Pac-12),31,12-19,240,684,35.1
10,Arizona (Pac-12),38,30-8,296,745,39.7
171,Ark.-Pine Bluff (SWAC),31,7-24,191,556,34.4
216,Arkansas St. (Sun Belt),32,17-15,167,506,33
84,Arkansas (SEC),31,18-13,204,563,36.2
72,Army West Point (Patriot),30,11-19,264,724,36.5
94,Austin Peay (OVC),34,20-14,186,517,36
158,Baylor (Big 12),31,18-13,164,474,34.6
31,Belmont (ASUN),35,30-5,327,864,37.8
117,Binghamton (America East),31,8-23,233,659,35.4
164,Boise St. (WAC),35,22-13,237,688,34.4
27,Boston College (ACC),34,21-13,306,802,38.2
109,Boston U. (America East),35,21-14,265,746,35.5
175,Brown (Ivy League),28,11-17,209,610,34.3
7,Bucknell (Patriot),34,25-9,234,585,40
42,Buffalo (MAC),34,20-14,206,549,37.5
130,Butler (Horizon),38,28-10,289,822,35.2
90,BYU (Mountain West),37,32-5,312,865,36.1
261,Cal Poly (Big West),30,15-15,190,610,31.1
67,Cal St. Fullerton (Big West),31,11-20,198,540,36.7
131,California (Pac-12),33,18-15,169,481,35.1
146,Canisius (MAAC),30,15-15,231,662,34.9
257,Central Ark. (Southland),29,5-24,165,527,31.3
235,Central Mich. (MAC),31,10-21,156,479,32.6
82,Charleston So. (Big South),32,16-16,208,573,36.3
202,Charlotte (Atlantic 10),30,10-20,202,606,33.3
247,Chattanooga (SoCon),32,16-16,272,846,32.2
185,Cincinnati (AAC),35,26-9,220,651,33.8
165,Clemson (ACC),34,22-12,217,630,34.4
178,Cleveland St. (Horizon),36,27-9,237,695,34.1
69,Col. of Charleston (SoCon),37,26-11,306,835,36.6
198,Colgate (Patriot),30,7-23,164,490,33.5
202,Colorado St. (Mountain West),32,19-13,187,561,33.3
50,Colorado (Big 12),38,24-14,230,618,37.2
186,Columbia (Ivy League),28,15-13,158,468,33.8
81,Coppin St. (MEAC),30,16-14,232,639,36.3
46,Cornell (Ivy League),28,10-18,251,671,37.4
59,Creighton (MVC),39,23-16,280,759,36.9
210,CSU Bakersfield (CSU Bakersfield),28,9-19,181,546,33.2
238,CSUN (Big West),32,14-18,176,542,32.5
230,Dartmouth (Ivy League),28,5-23,142,435,32.6
166,Davidson (SoCon),33,18-15,258,750,34.4
108,Dayton (Atlantic 10),36,22-14,243,684,35.5
154,Delaware St. (MEAC),30,9-21,206,594,34.7
149,Delaware (CAA),31,14-17,182,523,34.8
6,Denver (Sun Belt),30,13-17,232,578,40.1
256,DePaul (AAC),31,7-24,163,519,31.4
125,Detroit Mercy (Horizon),33,17-16,168,477,35.2
114,Drake (MVC),31,13-18,203,573,35.4
47,Duke (ACC),37,32-5,291,778,37.4
95,Duquesne (Atlantic 10),32,19-13,256,712,36
98,East Carolina (C-USA),34,18-16,258,721,35.8
64,Eastern Ky. (OVC),31,15-16,247,671,36.8
245,Eastern Mich. (MAC),31,9-22,214,664,32.2
60,Eastern Wash. (Big Sky),30,10-20,242,656,36.9
79,Elon (SoCon),31,14-17,285,784,36.4
139,ETSU (ASUN),36,24-12,189,540,35
250,Fairleigh Dickinson (NEC),29,5-24,150,468,32.1
224,FIU (Sun Belt),30,11-19,164,500,32.8
240,Fla. Atlantic (Sun Belt),32,21-11,167,515,32.4
263,Florida A&M (MEAC),32,12-20,194,624,31.1
199,Florida St. (ACC),34,23-11,212,634,33.4
124,Florida (SEC),37,29-8,233,661,35.2
193,Fordham (Atlantic 10),28,7-21,182,541,33.6
280,Fresno St. (WAC),31,14-17,183,621,29.5
44,Furman (SoCon),33,22-11,238,636,37.4
239,Gardner-Webb (Big South),32,11-21,203,626,32.4
11,George Mason (CAA),34,27-7,227,574,39.5
193,George Washington (Atlantic 10),31,17-14,182,541,33.6
120,Georgetown (AAC),32,21-11,223,631,35.3
141,Georgia St. (CAA),31,12-19,179,512,35
275,Georgia Tech (ACC),31,13-18,192,643,29.9
56,Gonzaga (WCC),35,25-10,203,548,37
276,Grambling (SWAC),33,12-21,166,556,29.9
243,Hampton (MEAC),33,24-9,213,658,32.4
269,Hartford (America East),31,11-20,265,869,30.5
35,Harvard (Ivy League),30,23-7,205,543,37.8
101,Hawaii (WAC),32,19-13,193,541,35.7
156,High Point (Big South),31,12-19,170,491,34.6
100,Hofstra (CAA),33,21-12,208,583,35.7
234,Holy Cross (Patriot),29,8-21,148,454,32.6
18,Houston (C-USA),30,12-18,176,452,38.9
24,Idaho (WAC),32,18-14,202,528,38.3
20,Illinois (Big Ten),34,20-14,232,600,38.7
85,Indiana St. (MVC),34,20-14,235,649,36.2
157,Indiana (Big Ten),32,12-20,189,546,34.6
43,Iona (MAAC),37,25-12,298,795,37.5
63,Iowa St. (Big 12),32,16-16,275,747,36.8
123,IUPUI (Summit League),33,19-14,198,561,35.3
218,Jackson St. (SWAC),32,17-15,188,570,33
65,Jacksonville St. (OVC),30,5-25,174,473,36.8
33,James Madison (CAA),33,21-12,199,526,37.8
151,Kansas City (Summit League),30,16-14,232,668,34.7
41,Kansas St. (Big 12),34,23-11,237,631,37.6
26,Kansas (Big 12),38,35-3,271,710,38.2
271,Kennesaw St. (ASUN),31,8-23,176,580,30.3
195,Kent St. (MAC),37,25-12,202,601,33.6
9,Kentucky (SEC),38,29-9,281,707,39.7
75,La Salle (Atlantic 10),33,15-18,208,571,36.4
137,Lafayette (Patriot),32,13-19,247,705,35
93,Lamar University (Southland),30,13-17,234,650,36
225,Lehigh (Patriot),31,16-15,172,525,32.8
246,Liberty (Big South),32,19-13,166,516,32.2
201,Lipscomb (ASUN),30,17-13,199,596,33.4
14,Little Rock (Sun Belt),36,19-17,242,615,39.3
91,LIU (NEC),33,27-6,229,635,36.1
170,Long Beach St. (Big West),34,22-12,219,637,34.4
103,Longwood (Longwood),31,12-19,236,662,35.6
217,Louisiana Tech (WAC),32,12-20,193,585,33
152,Louisiana (Sun Belt),29,14-15,151,435,34.7
86,Louisville (AAC),35,25-10,309,854,36.2
88,Loyola Chicago (Horizon),31,16-15,200,553,36.2
182,Loyola Maryland (MAAC),30,15-15,180,531,33.9
260,LSU (SEC),32,11-21,175,561,31.2
113,Maine (America East),30,15-15,191,539,35.4
262,Marist (MAAC),33,6-27,207,665,31.1
143,Marquette (AAC),37,22-15,191,547,34.9
244,Marshall (C-USA),34,22-12,188,583,32.2
282,Massachusetts (Atlantic 10),30,15-15,165,568,29
122,McNeese (Southland),33,21-12,226,640,35.3
223,Memphis (C-USA),35,25-10,210,639,32.9
215,Mercer (ASUN),33,15-18,212,642,33
36,Miami (FL) (ACC),36,21-15,283,750,37.7
148,Miami (OH) (MAC),33,16-17,249,714,34.9
110,Michigan St. (Big Ten),34,19-15,220,620,35.5
126,Michigan (Big Ten),35,21-14,283,804,35.2
177,Middle Tenn. (Sun Belt),32,16-16,168,492,34.1
129,Milwaukee (Horizon),33,19-14,250,711,35.2
87,Mississippi St. (SEC),31,17-14,246,680,36.2
242,Mississippi Val. (SWAC),32,13-19,204,630,32.4
39,Missouri St. (MVC),35,26-9,242,644,37.6
70,Missouri (Big 12),34,23-11,245,669,36.6
237,Monmouth (NEC),30,9-21,178,548,32.5
205,Montana St. (Big Sky),31,13-18,235,706,33.3
180,Morehead St. (OVC),35,25-10,204,601,33.9
29,Murray St. (OVC),32,23-9,192,506,37.9
236,N.C. A&T (MEAC),32,15-17,205,631,32.5
281,Navy (Patriot),31,11-20,236,803,29.4
255,Nebraska (Big 12),32,19-13,164,522,31.4
155,Nevada (WAC),32,13-19,210,606,34.7
284,New Hampshire (America East),30,12-18,191,658,29
208,New Mexico St. (WAC),33,16-17,184,554,33.2
159,New Mexico (Mountain West),35,22-13,226,654,34.6
286,Niagara (MAAC),32,9-23,174,632,27.5
196,Nicholls (Southland),28,14-14,190,567,33.5
76,NJIT (NJIT),30,15-15,222,610,36.4
266,Norfolk St. (MEAC),32,12-20,176,574,30.7
226,North Carolina (ACC),37,29-8,190,580,32.8
25,North Dakota St. (Summit League),29,14-15,165,432,38.2
220,North Florida (ASUN),34,15-19,203,616,33
34,North Texas (Sun Belt),33,22-11,179,474,37.8
30,Northeastern (CAA),31,11-20,193,509,37.9
2,Northern Ariz. (Big Sky),32,19-13,205,485,42.3
21,Northern Colo. (Big Sky),32,21-11,254,657,38.7
241,Northern Ill. (MAC),30,9-21,174,537,32.4
162,Northwestern St. (Southland),32,18-14,211,612,34.5
51,Northwestern (Big Ten),34,20-14,319,858,37.2
22,Notre Dame (AAC),34,27-7,273,708,38.6
45,Oakland (Summit League),35,25-10,287,767,37.4
1,Ohio St. (Big Ten),37,34-3,285,674,42.3
115,Ohio (MAC),35,19-16,260,734,35.4
188,Oklahoma (Big 12),32,14-18,198,587,33.7
131,Ole Miss (SEC),34,20-14,260,740,35.1
71,Oral Roberts (Summit League),35,19-16,193,528,36.6
270,Oregon St. (Pac-12),31,11-20,160,527,30.4
181,Oregon (Pac-12),39,21-18,273,805,33.9
106,Pacific (Big West),31,16-15,236,663,35.6
184,Penn St. (Big Ten),34,19-15,216,638,33.9
62,Penn (Ivy League),28,13-15,185,502,36.9
229,Pepperdine (WCC),33,12-21,177,541,32.7
12,Pittsburgh (AAC),34,28-6,202,512,39.5
128,Portland St. (Big Sky),30,14-16,211,600,35.2
3,Portland (WCC),32,20-12,243,590,41.2
273,Prairie View (SWAC),32,10-22,202,671,30.1
80,Princeton (Ivy League),32,25-7,193,531,36.3
254,Providence (AAC),32,15-17,212,673,31.5
23,Purdue Fort Wayne (Summit League),30,18-12,240,624,38.5
74,Purdue (Big Ten),34,26-8,235,645,36.4
163,Quinnipiac (NEC),32,22-10,175,508,34.4
192,Rhode Island (Atlantic 10),34,20-14,243,722,33.7
228,Rice (C-USA),32,14-18,168,513,32.7
16,Richmond (Atlantic 10),37,29-8,287,734,39.1
15,Rider (MAAC),34,23-11,263,672,39.1
102,Robert Morris (NEC),32,18-14,215,603,35.7
168,Rutgers (AAC),32,15-17,175,509,34.4
268,Sacramento St. (Big Sky),28,7-21,155,507,30.6
161,Sacred Heart (NEC),29,11-18,165,478,34.5
206,Saint Francis (PA) (NEC),30,9-21,170,511,33.3
227,Saint Joseph's (Atlantic 10),33,11-22,207,632,32.8
232,Saint Louis (Atlantic 10),31,12-19,170,521,32.6
17,Saint Mary's (CA) (WCC),34,25-9,291,746,39
169,Saint Peter's (MAAC),34,20-14,197,573,34.4
278,Sam Houston (Southland),31,18-13,185,624,29.6
112,Samford (SoCon),31,12-19,275,776,35.4
145,San Diego St. (Mountain West),37,34-3,223,639,34.9
212,San Diego (WCC),30,6-24,163,492,33.1
190,San Francisco (WCC),34,19-15,227,674,33.7
49,San Jose St. (WAC),33,17-16,207,556,37.2
131,Santa Clara (WCC),38,24-14,273,777,35.1
264,Savannah St. (Savannah St.),30,12-18,166,534,31.1
267,Seton Hall (AAC),31,13-18,187,611,30.6
200,Siena (MAAC),31,13-18,160,479,33.4
13,SMU (C-USA),35,20-15,277,703,39.4
207,South Alabama (Sun Belt),28,12-16,158,475,33.3
253,South Carolina St. (MEAC),32,10-22,178,559,31.8
258,South Carolina (SEC),30,14-16,207,662,31.3
5,South Dakota St. (Summit League),31,19-12,276,672,41.1
179,Southeast Mo. St. (OVC),32,10-22,163,478,34.1
174,Southeastern La. (Southland),29,15-14,181,528,34.3
118,Southern California (Pac-12),34,19-15,204,577,35.4
66,Southern Miss. (C-USA),32,22-10,172,468,36.8
279,Southern U. (SWAC),30,4-26,153,517,29.6
131,St. Bonaventure (Atlantic 10),31,16-15,169,481,35.1
265,St. Francis Brooklyn (NEC),30,15-15,209,673,31.1
105,Stanford (Pac-12),31,15-16,198,556,35.6
277,Stetson (ASUN),31,8-23,164,552,29.7
160,Stony Brook (America East),32,15-17,221,640,34.5
119,Syracuse (AAC),35,27-8,222,628,35.4
140,TCU (Mountain West),33,11-22,214,612,35
121,Temple (Atlantic 10),34,26-8,206,583,35.3
61,Tennessee St. (OVC),30,14-16,216,586,36.9
274,Tennessee (SEC),34,19-15,175,583,30
183,Texas A&M (Big 12),33,24-9,181,534,33.9
272,Texas Southern (SWAC),32,19-13,185,614,30.1
252,Texas St. (Southland),32,16-16,185,579,32
73,Texas Tech (Big 12),32,13-19,179,491,36.5
40,Texas (Big 12),36,28-8,201,535,37.6
251,Toledo (MAC),32,4-28,170,531,32
107,Towson (CAA),30,4-26,179,503,35.6
172,Troy (Sun Belt),29,8-21,255,743,34.3
77,Tulane (C-USA),30,13-17,230,632,36.4
144,Tulsa (C-USA),32,19-13,214,613,34.9
176,UAB (C-USA),31,22-9,239,698,34.2
32,UC Davis (Big West),30,10-20,241,637,37.8
116,UC Irvine (Big West),32,13-19,239,675,35.4
153,UC Riverside (Big West),31,12-19,161,464,34.7
52,UC Santa Barbara (Big West),32,18-14,227,611,37.2
197,UCF (C-USA),33,21-12,195,582,33.5
231,UCLA (Pac-12),34,23-11,173,530,32.6
221,UConn (AAC),41,32-9,234,711,32.9
249,ULM (Sun Belt),31,7-24,158,492,32.1
213,UMBC (America East),30,5-25,183,553,33.1
282,UMES (MEAC),31,9-22,165,568,29
104,UNC Greensboro (SoCon),31,7-24,186,522,35.6
58,UNCW (CAA),31,13-18,221,599,36.9
167,UNI (MVC),34,20-14,250,727,34.4
219,UNLV (Mountain West),33,24-9,184,558,33
142,UT Arlington (Southland),29,13-16,212,607,34.9
233,UT Martin (OVC),33,12-21,181,555,32.6
68,Utah St. (WAC),34,30-4,206,562,36.7
89,Utah Valley (Utah Valley),30,19-11,197,546,36.1
210,Utah (Mountain West),31,13-18,181,546,33.2
78,UTEP (C-USA),35,25-10,199,547,36.4
28,UTRGV (UTRGV),31,6-25,243,639,38
136,UTSA (Southland),34,20-14,234,667,35.1
248,Valparaiso (Horizon),35,23-12,220,685,32.1
54,Vanderbilt (SEC),34,23-11,263,708,37.1
57,VCU (CAA),40,28-12,339,917,37
150,Villanova (AAC),33,21-12,210,604,34.8
214,Virginia Tech (ACC),34,22-12,189,572,33
19,Virginia (ACC),31,16-15,226,583,38.8
97,VMI (Big South),31,18-13,351,979,35.9
55,Wagner (NEC),30,13-17,196,529,37.1
96,Wake Forest (ACC),32,8-24,184,513,35.9
127,Washington St. (Pac-12),35,22-13,240,682,35.2
53,Washington (Pac-12),35,24-11,305,821,37.1
4,Weber St. (Big Sky),32,18-14,256,623,41.1
189,West Virginia (AAC),33,21-12,206,611,33.7
202,Western Caro. (SoCon),33,18-15,190,570,33.3
138,Western Ill. (Summit League),30,7-23,160,457,35
259,Western Ky. (Sun Belt),32,16-16,179,573,31.2
147,Western Mich. (MAC),34,21-13,195,559,34.9
111,Wichita St. (MVC),37,29-8,260,733,35.5
83,William & Mary (CAA),32,10-22,250,689,36.3
48,Wisconsin (Big Ten),34,25-9,278,744,37.4
8,Wofford (SoCon),34,21-13,197,493,40
99,Wright St. (Horizon),33,19-14,217,608,35.7
285,Wyoming (Mountain West),31,10-21,155,549,28.2
222,Xavier (Atlantic 10),32,24-8,173,526,32.9
173,Yale (Ivy League),28,15-13,167,487,34.3
209,Youngstown St. (Horizon),30,9-21,235,708,33.2
