Rank,Team,GM,W-L,FGM,FGA,FG%
316,A&M-Corpus Christi (Southland),30,6-24,627,"1,584",39.6
120,Air Force (Mountain West),29,13-16,616,"1,383",44.5
57,Akron (MAC),34,22-12,868,"1,879",46.2
287,Alabama A&M (SWAC),28,7-21,629,"1,538",40.9
334,Alabama St. (SWAC),31,12-19,648,"1,714",37.8
94,Alabama (SEC),33,21-12,778,"1,722",45.2
118,Albany (NY) (America East),34,19-15,842,"1,889",44.6
257,Alcorn (SWAC),32,10-22,712,"1,710",41.6
220,American (Patriot),32,20-12,713,"1,680",42.4
132,App State (SoCon),31,13-18,746,"1,693",44.1
85,Arizona St. (Pac-12),31,10-21,654,"1,439",45.4
142,Arizona (Pac-12),35,23-12,795,"1,812",43.9
271,Ark.-Pine Bluff (SWAC),33,11-22,705,"1,707",41.3
182,Arkansas St. (Sun Belt),34,14-20,765,"1,771",43.2
164,Arkansas (SEC),32,18-14,808,"1,860",43.4
236,Army West Point (Patriot),30,12-18,678,"1,608",42.2
254,Auburn (SEC),31,15-16,696,"1,669",41.7
122,Austin Peay (OVC),32,12-20,792,"1,781",44.5
238,Ball St. (MAC),30,15-15,647,"1,536",42.1
41,Baylor (Big 12),38,30-8,"1,004","2,148",46.7
16,Belmont (ASUN),35,27-8,975,"2,026",48.1
174,Bethune-Cookman (MEAC),35,18-17,818,"1,890",43.3
314,Binghamton (America East),31,2-29,627,"1,579",39.7
197,Boise St. (Mountain West),30,13-17,708,"1,653",42.8
291,Boston College (ACC),31,9-22,629,"1,543",40.8
232,Boston U. (America East),32,16-16,725,"1,717",42.2
70,Bowling Green (MAC),32,16-16,823,"1,795",45.8
311,Bradley (MVC),32,7-25,689,"1,720",40.1
304,Brown (Ivy League),31,8-23,685,"1,695",40.4
61,Bucknell (Patriot),35,25-10,836,"1,813",46.1
49,Buffalo (MAC),31,20-11,806,"1,734",46.5
288,Butler (Horizon),37,22-15,823,"2,014",40.9
47,BYU (WCC),35,26-9,977,"2,099",46.5
