Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
201,A&M-Corpus Christi (Southland),30,6-24,502,175,34.9
76,Air Force (Mountain West),29,13-16,621,199,32
18,Akron (MAC),34,22-12,575,173,30.1
212,Alabama A&M (SWAC),28,7-21,380,133,35
16,Alabama St. (SWAC),31,12-19,494,148,30
4,Alabama (SEC),33,21-12,568,164,28.9
302,Albany (NY) (America East),34,19-15,650,242,37.2
103,Alcorn (SWAC),32,10-22,523,171,32.7
40,American (Patriot),32,20-12,583,181,31
50,App State (SoCon),31,13-18,501,157,31.3
289,Arizona St. (Pac-12),31,10-21,574,211,36.8
3,Arizona (Pac-12),35,23-12,596,170,28.5
305,Ark.-Pine Bluff (SWAC),33,11-22,617,230,37.3
331,Arkansas St. (Sun Belt),34,14-20,544,213,39.2
92,Arkansas (SEC),32,18-14,585,190,32.5
157,Army West Point (Patriot),30,12-18,639,217,34
197,Auburn (SEC),31,15-16,584,203,34.8
307,Austin Peay (OVC),32,12-20,572,214,37.4
236,Ball St. (MAC),30,15-15,557,198,35.5
138,Baylor (Big 12),38,30-8,693,232,33.5
155,Belmont (ASUN),35,27-8,610,207,33.9
176,Bethune-Cookman (MEAC),35,18-17,508,174,34.3
290,Binghamton (America East),31,2-29,568,209,36.8
314,Boise St. (Mountain West),30,13-17,569,215,37.8
209,Boston College (ACC),31,9-22,604,211,34.9
110,Boston U. (America East),32,16-16,617,203,32.9
195,Bowling Green (MAC),32,16-16,515,179,34.8
260,Bradley (MVC),32,7-25,607,219,36.1
332,Brown (Ivy League),31,8-23,572,224,39.2
174,Bucknell (Patriot),35,25-10,661,226,34.2
135,Buffalo (MAC),31,20-11,655,219,33.4
28,Butler (Horizon),37,22-15,617,189,30.6
46,BYU (WCC),35,26-9,734,229,31.2
137,Cal Poly (Big West),33,18-15,502,168,33.5
293,Cal St. Fullerton (Big West),31,21-10,572,211,36.9
105,California (Pac-12),34,24-10,568,186,32.7
89,Campbell (Big South),32,17-15,669,217,32.4
186,Canisius (MAAC),30,5-25,649,224,34.5
200,Central Ark. (Southland),29,8-21,485,169,34.8
223,Central Conn. St. (NEC),29,13-16,519,183,35.3
298,Central Mich. (MAC),32,11-21,594,220,37
263,Charleston So. (Big South),31,19-12,593,214,36.1
139,Charlotte (Atlantic 10),30,13-17,630,211,33.5
88,Chattanooga (SoCon),32,11-21,926,300,32.4
254,Chicago St. (GWC),30,4-26,670,241,36
81,Cincinnati (AAC),37,26-11,641,207,32.3
253,Clemson (ACC),31,16-15,495,178,36
64,Cleveland St. (Horizon),33,22-11,498,158,31.7
226,Coastal Carolina (Big South),31,19-12,603,213,35.3
75,Col. of Charleston (SoCon),31,19-12,618,198,32
315,Colgate (Patriot),30,8-22,586,222,37.9
231,Colorado St. (Mountain West),32,20-12,648,230,35.5
97,Colorado (Pac-12),36,24-12,703,229,32.6
255,Columbia (Ivy League),30,15-15,447,161,36
184,Coppin St. (MEAC),30,14-16,742,256,34.5
31,Cornell (Ivy League),28,12-16,561,172,30.7
264,Creighton (MVC),35,29-6,631,228,36.1
167,CSU Bakersfield (Independent),31,16-15,557,190,34.1
284,CSUN (Big West),28,7-21,581,213,36.7
287,Dartmouth (Ivy League),30,5-25,498,183,36.7
169,Davidson (SoCon),33,25-8,498,170,34.1
136,Dayton (Atlantic 10),33,20-13,556,186,33.5
101,Delaware St. (MEAC),29,15-14,444,145,32.7
87,Delaware (CAA),32,18-14,562,182,32.4
266,Denver (Sun Belt),31,22-9,383,139,36.3
