Rank,Team,GM,W-L,3FG,3PG
300,A&M-Corpus Christi (Southland),30,6-24,141,4.7
115,Air Force (Mountain West),29,13-16,192,6.6
173,Akron (MAC),34,22-12,207,6.1
256,Alabama A&M (SWAC),28,7-21,147,5.3
169,Alabama St. (SWAC),31,12-19,190,6.1
328,Alabama (SEC),33,21-12,136,4.1
83,Albany (NY) (America East),34,19-15,245,7.2
313,Alcorn (SWAC),32,10-22,144,4.5
88,American (Patriot),32,20-12,227,7.1
124,App State (SoCon),31,13-18,203,6.5
192,Arizona St. (Pac-12),31,10-21,181,5.8
70,Arizona (Pac-12),35,23-12,258,7.4
317,Ark.-Pine Bluff (SWAC),33,11-22,145,4.4
263,Arkansas St. (Sun Belt),34,14-20,176,5.2
140,Arkansas (SEC),32,18-14,205,6.4
34,Army West Point (Patriot),30,12-18,238,7.9
280,Auburn (SEC),31,15-16,156,5
322,Austin Peay (OVC),32,12-20,139,4.3
144,Ball St. (MAC),30,15-15,191,6.4
104,Baylor (Big 12),38,30-8,259,6.8
9,Belmont (ASUN),35,27-8,309,8.8
274,Bethune-Cookman (MEAC),35,18-17,178,5.1
324,Binghamton (America East),31,2-29,132,4.3
58,Boise St. (Mountain West),30,13-17,227,7.6
75,Boston College (ACC),31,9-22,225,7.3
151,Boston U. (America East),32,16-16,202,6.3
290,Bowling Green (MAC),32,16-16,156,4.9
298,Bradley (MVC),32,7-25,151,4.7
59,Brown (Ivy League),31,8-23,234,7.5
190,Bucknell (Patriot),35,25-10,206,5.9
102,Buffalo (MAC),31,20-11,212,6.8
286,Butler (Horizon),37,22-15,183,4.9
112,BYU (WCC),35,26-9,233,6.7
101,Cal Poly (Big West),33,18-15,226,6.8
12,Cal St. Fullerton (Big West),31,21-10,266,8.6
306,California (Pac-12),34,24-10,156,4.6
250,Campbell (Big South),32,17-15,169,5.3
144,Canisius (MAAC),30,5-25,191,6.4
264,Central Ark. (Southland),29,8-21,150,5.2
160,Central Conn. St. (NEC),29,13-16,180,6.2
147,Central Mich. (MAC),32,11-21,203,6.3
20,Charleston So. (Big South),31,19-12,259,8.4
141,Charlotte (Atlantic 10),30,13-17,192,6.4
64,Chattanooga (SoCon),32,11-21,240,7.5
266,Chicago St. (GWC),30,4-26,155,5.2
92,Cincinnati (AAC),37,26-11,260,7
224,Clemson (ACC),31,16-15,171,5.5
122,Cleveland St. (Horizon),33,22-11,217,6.6
293,Coastal Carolina (Big South),31,19-12,150,4.8
36,Col. of Charleston (SoCon),31,19-12,245,7.9
118,Colgate (Patriot),30,8-22,198,6.6
188,Colorado St. (Mountain West),32,20-12,189,5.9
223,Colorado (Pac-12),36,24-12,199,5.5
90,Columbia (Ivy League),30,15-15,211,7
2,Coppin St. (MEAC),30,14-16,289,9.6
46,Cornell (Ivy League),28,12-16,217,7.8
25,Creighton (MVC),35,29-6,287,8.2
143,CSU Bakersfield (Independent),31,16-15,198,6.4
175,CSUN (Big West),28,7-21,170,6.1
267,Dartmouth (Ivy League),30,5-25,154,5.1
50,Davidson (SoCon),33,25-8,255,7.7
43,Dayton (Atlantic 10),33,20-13,257,7.8
160,Delaware St. (MEAC),29,15-14,180,6.2
250,Delaware (CAA),32,18-14,169,5.3
24,Denver (Sun Belt),31,22-9,255,8.2
80,DePaul (AAC),31,12-19,224,7.2
307,Detroit Mercy (Horizon),36,22-14,165,4.6
157,Drake (MVC),34,18-16,212,6.2
167,Drexel (CAA),36,29-7,221,6.1
31,Duke (ACC),34,27-7,274,8.1
137,Duquesne (Atlantic 10),31,16-15,199,6.4
54,East Carolina (C-USA),31,15-16,236,7.6
275,Eastern Ill. (OVC),29,12-17,147,5.1
81,Eastern Ky. (OVC),32,16-16,231,7.2
295,Eastern Mich. (MAC),32,14-18,153,4.8
8,Eastern Wash. (Big Sky),32,15-17,283,8.8
53,Elon (SoCon),31,15-16,238,7.7
327,ETSU (ASUN),31,17-14,128,4.1
222,Evansville (MVC),32,16-16,177,5.5
163,Fairfield (MAAC),37,22-15,229,6.2
335,Fairleigh Dickinson (NEC),29,3-26,109,3.8
39,FGCU (ASUN),32,15-17,251,7.8
264,FIU (Sun Belt),29,8-21,150,5.2
100,Fla. Atlantic (Sun Belt),30,11-19,208,6.9
218,Florida A&M (MEAC),33,10-23,183,5.5
164,Florida St. (ACC),35,25-10,216,6.2
1,Florida (SEC),37,26-11,357,9.6
296,Fordham (Atlantic 10),29,10-19,138,4.8
191,Fresno St. (WAC),33,13-20,194,5.9
107,Furman (SoCon),31,15-16,210,6.8
233,Ga. Southern (SoCon),30,15-15,163,5.4
184,Gardner-Webb (Big South),32,12-20,191,6
297,George Mason (CAA),33,24-9,156,4.7
326,George Washington (Atlantic 10),31,10-21,129,4.2
212,Georgetown (AAC),33,24-9,186,5.6
259,Georgia St. (CAA),34,22-12,178,5.2
273,Georgia Tech (ACC),31,11-20,158,5.1
151,Georgia (SEC),32,15-17,202,6.3
125,Gonzaga (WCC),33,26-7,215,6.5
329,Grambling (SWAC),28,4-24,115,4.1
225,Green Bay (Horizon),30,15-15,165,5.5
218,Hampton (MEAC),33,12-21,183,5.5
71,Hartford (America East),31,9-22,228,7.4
185,Harvard (Ivy League),31,26-5,185,6
277,Hawaii (WAC),32,16-16,162,5.1
18,High Point (Big South),31,13-18,263,8.5
291,Hofstra (CAA),32,10-22,155,4.8
210,Holy Cross (Patriot),29,15-14,166,5.7
272,Houston Baptist (GWC),30,10-20,153,5.1
228,Houston (C-USA),30,15-15,164,5.5
312,Howard (MEAC),31,10-21,140,4.5
135,Idaho St. (Big Sky),30,9-21,193,6.4
125,Idaho (WAC),33,19-14,215,6.5
17,Illinois St. (MVC),35,21-14,297,8.5
197,Illinois (Big Ten),32,17-15,186,5.8
172,Indiana St. (MVC),33,18-15,201,6.1
146,Indiana (Big Ten),36,27-9,229,6.4
51,Iona (MAAC),33,25-8,254,7.7
11,Iowa St. (Big 12),34,23-11,293,8.6
206,Iowa (Big Ten),35,18-17,201,5.7
197,IUPUI (Summit League),32,14-18,186,5.8
323,Jackson St. (SWAC),31,7-24,133,4.3
320,Jacksonville St. (OVC),33,15-18,144,4.4
279,Jacksonville (ASUN),30,8-22,151,5
46,James Madison (CAA),32,12-20,248,7.8
22,Kansas City (Summit League),31,10-21,256,8.3
218,Kansas St. (Big 12),33,22-11,183,5.5
211,Kansas (Big 12),39,32-7,222,5.7
114,Kennesaw St. (ASUN),31,3-28,206,6.6
178,Kent St. (MAC),33,21-12,200,6.1
213,Kentucky (SEC),40,38-2,225,5.6
42,La Salle (Atlantic 10),34,21-13,265,7.8
4,Lafayette (Patriot),31,13-18,283,9.1
319,Lamar University (Southland),35,23-12,153,4.4
76,Lehigh (Patriot),35,27-8,254,7.3
333,Liberty (Big South),32,14-18,125,3.9
56,Lipscomb (ASUN),31,13-18,235,7.6
