Rank,Team,W,L,Pct
316,A&M-Corpus Christi (Southland),6,24,20
215,Air Force (Mountain West),13,16,44.8
78,Akron (MAC),22,12,64.7
307,Alabama A&M (SWAC),7,21,25
253,Alabama St. (SWAC),12,19,38.7
85,Alabama (SEC),21,12,63.6
140,Albany (NY) (America East),19,15,55.9
287,Alcorn (SWAC),10,22,31.3
91,American (Patriot),20,12,62.5
231,App State (SoCon),13,18,41.9
279,Arizona St. (Pac-12),10,21,32.3
74,Arizona (Pac-12),23,12,65.7
276,Ark.-Pine Bluff (SWAC),11,22,33.3
241,Arkansas St. (Sun Belt),14,20,41.2
135,Arkansas (SEC),18,14,56.3
250,Army West Point (Patriot),12,18,40
191,Auburn (SEC),15,16,48.4
255,Austin Peay (OVC),12,20,37.5
173,Ball St. (MAC),15,15,50
20,Baylor (Big 12),30,8,78.9
26,Belmont (ASUN),27,8,77.1
170,Bethune-Cookman (MEAC),18,17,51.4
337,Binghamton (America East),2,29,6.5
226,Boise St. (Mountain West),13,17,43.3
294,Boston College (ACC),9,22,29
173,Boston U. (America East),16,16,50
173,Bowling Green (MAC),16,16,50
314,Bradley (MVC),7,25,21.9
304,Brown (Ivy League),8,23,25.8
50,Bucknell (Patriot),25,10,71.4
82,Buffalo (MAC),20,11,64.5
116,Butler (Horizon),22,15,59.5
37,BYU (WCC),26,9,74.3
147,Cal Poly (Big West),18,15,54.5
66,Cal St. Fullerton (Big West),21,10,67.7
54,California (Pac-12),24,10,70.6
154,Campbell (Big South),17,15,53.1
323,Canisius (MAAC),5,25,16.7
297,Central Ark. (Southland),8,21,27.6
215,Central Conn. St. (NEC),13,16,44.8
273,Central Mich. (MAC),11,21,34.4
102,Charleston So. (Big South),19,12,61.3
226,Charlotte (Atlantic 10),13,17,43.3
273,Chattanooga (SoCon),11,21,34.4
330,Chicago St. (GWC),4,26,13.3
58,Cincinnati (AAC),26,11,70.3
164,Clemson (ACC),16,15,51.6
69,Cleveland St. (Horizon),22,11,66.7
102,Coastal Carolina (Big South),19,12,61.3
102,Col. of Charleston (SoCon),19,12,61.3
300,Colgate (Patriot),8,22,26.7
91,Colorado St. (Mountain West),20,12,62.5
69,Colorado (Pac-12),24,12,66.7
173,Columbia (Ivy League),15,15,50
206,Coppin St. (MEAC),14,16,46.7
229,Cornell (Ivy League),12,16,42.9
7,Creighton (MVC),29,6,82.9
164,CSU Bakersfield (Independent),16,15,51.6
307,CSUN (Big West),7,21,25
323,Dartmouth (Ivy League),5,25,16.7
32,Davidson (SoCon),25,8,75.8
108,Dayton (Atlantic 10),20,13,60.6
162,Delaware St. (MEAC),15,14,51.7
135,Delaware (CAA),18,14,56.3
53,Denver (Sun Belt),22,9,71
253,DePaul (AAC),12,19,38.7
105,Detroit Mercy (Horizon),22,14,61.1
159,Drake (MVC),18,16,52.9
12,Drexel (CAA),29,7,80.6
17,Duke (ACC),27,7,79.4
164,Duquesne (Atlantic 10),16,15,51.6
191,East Carolina (C-USA),15,16,48.4
237,Eastern Ill. (OVC),12,17,41.4
173,Eastern Ky. (OVC),16,16,50
218,Eastern Mich. (MAC),14,18,43.8
200,Eastern Wash. (Big Sky),15,17,46.9
191,Elon (SoCon),15,16,48.4
143,ETSU (ASUN),17,14,54.8
173,Evansville (MVC),16,16,50
116,Fairfield (MAAC),22,15,59.5
333,Fairleigh Dickinson (NEC),3,26,10.3
200,FGCU (ASUN),15,17,46.9
297,FIU (Sun Belt),8,21,27.6
263,Fla. Atlantic (Sun Belt),11,19,36.7
291,Florida A&M (MEAC),10,23,30.3
50,Florida St. (ACC),25,10,71.4
58,Florida (SEC),26,11,70.3
271,Fordham (Atlantic 10),10,19,34.5
252,Fresno St. (WAC),13,20,39.4
191,Furman (SoCon),15,16,48.4
173,Ga. Southern (SoCon),15,15,50
255,Gardner-Webb (Big South),12,20,37.5
43,George Mason (CAA),24,9,72.7
279,George Washington (Atlantic 10),10,21,32.3
43,Georgetown (AAC),24,9,72.7
78,Georgia St. (CAA),22,12,64.7
270,Georgia Tech (ACC),11,20,35.5
200,Georgia (SEC),15,17,46.9
21,Gonzaga (WCC),26,7,78.8
329,Grambling (SWAC),4,24,14.3
173,Green Bay (Horizon),15,15,50
267,Hampton (MEAC),12,21,36.4
294,Hartford (America East),9,22,29
6,Harvard (Ivy League),26,5,83.9
173,Hawaii (WAC),16,16,50
231,High Point (Big South),13,18,41.9
287,Hofstra (CAA),10,22,31.3
162,Holy Cross (Patriot),15,14,51.7
276,Houston Baptist (GWC),10,20,33.3
173,Houston (C-USA),15,15,50
279,Howard (MEAC),10,21,32.3
292,Idaho St. (Big Sky),9,21,30
127,Idaho (WAC),19,14,57.6
114,Illinois St. (MVC),21,14,60
154,Illinois (Big Ten),17,15,53.1
147,Indiana St. (MVC),18,15,54.5
34,Indiana (Big Ten),27,9,75
32,Iona (MAAC),25,8,75.8
67,Iowa St. (Big 12),23,11,67.6
170,Iowa (Big Ten),18,17,51.4
218,IUPUI (Summit League),14,18,43.8
311,Jackson St. (SWAC),7,24,22.6
208,Jacksonville St. (OVC),15,18,45.5
300,Jacksonville (ASUN),8,22,26.7
255,James Madison (CAA),12,20,37.5
279,Kansas City (Summit League),10,21,32.3
