Rank,Team,GM,W-L,AST,TO,Ratio
212,A&M-Corpus Christi (Southland),29,6-23,316,351,0.90
20,Air Force (Mountain West),32,18-14,508,380,1.34
102,Akron (MAC),33,26-7,485,458,1.06
266,Alabama A&M (SWAC),31,11-20,367,444,0.83
297,Alabama St. (SWAC),32,10-22,371,479,0.77
255,Alabama (SEC),36,23-13,380,451,0.84
257,Albany (NY) (America East),35,24-11,394,468,0.84
339,Alcorn (SWAC),34,10-24,308,512,0.60
181,American (Patriot),30,10-20,348,364,0.96
249,App State (SoCon),31,15-16,356,420,0.85
74,Arizona St. (Pac-12),35,22-13,497,445,1.12
117,Arizona (Pac-12),35,27-8,476,458,1.04
225,Ark.-Pine Bluff (SWAC),30,16-14,382,433,0.88
283,Arkansas St. (Sun Belt),31,19-12,324,408,0.79
28,Arkansas (SEC),32,19-13,475,372,1.28
140,Army West Point (Patriot),31,16-15,442,437,1.01
193,Auburn (SEC),32,9-23,396,427,0.93
207,Austin Peay (OVC),31,8-23,455,502,0.91
291,Ball St. (MAC),30,15-15,357,455,0.78
22,Baylor (Big 12),37,23-14,587,440,1.33
53,Belmont (OVC),33,26-7,516,440,1.17
115,Bethune-Cookman (MEAC),34,14-20,439,420,1.05
345,Binghamton (America East),30,3-27,247,461,0.54
80,Boise St. (Mountain West),32,21-11,423,385,1.10
97,Boston College (ACC),33,16-17,404,376,1.07
87,Boston U. (America East),30,17-13,408,375,1.09
191,Bowling Green (MAC),32,13-19,385,410,0.94
104,Bradley (MVC),35,18-17,439,415,1.06
227,Brown (Ivy League),28,13-15,349,396,0.88
51,Bryant (NEC),31,19-12,470,400,1.18
7,Bucknell (Patriot),34,28-6,455,321,1.42
168,Buffalo (MAC),34,14-20,510,525,0.97
162,Butler (Atlantic 10),36,27-9,465,474,0.98
24,BYU (WCC),36,24-12,575,432,1.33
4,Cal Poly (Big West),32,18-14,441,302,1.46
50,Cal St. Fullerton (Big West),32,14-18,472,401,1.18
70,California (Pac-12),33,21-12,468,417,1.12
143,Campbell (Big South),33,13-20,461,456,1.01
179,Canisius (MAAC),34,20-14,432,450,0.96
163,Central Ark. (Southland),30,13-17,423,432,0.98
147,Central Conn. St. (NEC),30,13-17,378,378,1.00
145,Central Mich. (MAC),31,11-20,404,402,1.00
146,Charleston So. (Big South),32,19-13,395,394,1.00
301,Charlotte (Atlantic 10),33,21-12,387,505,0.77
253,Chattanooga (SoCon),32,13-19,379,449,0.84
259,Chicago St. (GWC),33,11-22,407,484,0.84
177,Cincinnati (AAC),34,22-12,415,432,0.96
189,Clemson (ACC),31,13-18,334,355,0.94
240,Cleveland St. (Horizon),32,14-18,389,452,0.86
310,Coastal Carolina (Big South),29,14-15,308,410,0.75
260,Col. of Charleston (SoCon),35,24-11,392,467,0.84
166,Colgate (Patriot),32,11-21,412,423,0.97
61,Colorado St. (Mountain West),35,26-9,445,389,1.14
311,Colorado (Pac-12),33,21-12,328,439,0.75
78,Columbia (Ivy League),28,12-16,337,306,1.10
324,Coppin St. (MEAC),32,8-24,328,472,0.69
224,Cornell (Ivy League),31,13-18,364,412,0.88
13,Creighton (MVC),36,28-8,609,443,1.37
216,CSU Bakersfield (Independent),30,14-16,380,424,0.90
