Rank,Team,GM,W-L,BLKS,BKPG
141,A&M-Corpus Christi (Southland),29,6-23,107,3.7
330,Air Force (Mountain West),32,18-14,55,1.7
9,Akron (MAC),33,26-7,189,5.7
186,Alabama A&M (SWAC),31,11-20,102,3.3
198,Alabama St. (SWAC),32,10-22,103,3.2
63,Alabama (SEC),36,23-13,160,4.4
319,Albany (NY) (America East),35,24-11,71,2
126,Alcorn (SWAC),34,10-24,130,3.8
277,American (Patriot),30,10-20,75,2.5
121,App State (SoCon),31,15-16,119,3.8
7,Arizona St. (Pac-12),35,22-13,211,6
123,Arizona (Pac-12),35,27-8,134,3.8
184,Ark.-Pine Bluff (SWAC),30,16-14,99,3.3
211,Arkansas St. (Sun Belt),31,19-12,95,3.1
29,Arkansas (SEC),32,19-13,159,5
200,Army West Point (Patriot),31,16-15,99,3.2
127,Auburn (SEC),32,9-23,122,3.8
18,Austin Peay (OVC),31,8-23,164,5.3
289,Ball St. (MAC),30,15-15,71,2.4
58,Baylor (Big 12),37,23-14,166,4.5
258,Belmont (OVC),33,26-7,88,2.7
146,Bethune-Cookman (MEAC),34,14-20,125,3.7
280,Binghamton (America East),30,3-27,74,2.5
334,Boise St. (Mountain West),32,21-11,54,1.7
265,Boston College (ACC),33,16-17,86,2.6
328,Boston U. (America East),30,17-13,53,1.8
79,Bowling Green (MAC),32,13-19,136,4.3
287,Bradley (MVC),35,18-17,84,2.4
145,Brown (Ivy League),28,13-15,103,3.7
344,Bryant (NEC),31,19-12,35,1.1
98,Bucknell (Patriot),34,28-6,139,4.1
47,Buffalo (MAC),34,14-20,156,4.6
264,Butler (Atlantic 10),36,27-9,94,2.6
279,BYU (WCC),36,24-12,89,2.5
330,Cal Poly (Big West),32,18-14,55,1.7
336,Cal St. Fullerton (Big West),32,14-18,52,1.6
44,California (Pac-12),33,21-12,154,4.7
177,Campbell (Big South),33,13-20,110,3.3
188,Canisius (MAAC),34,20-14,111,3.3
106,Central Ark. (Southland),30,13-17,120,4
76,Central Conn. St. (NEC),30,13-17,130,4.3
314,Central Mich. (MAC),31,11-20,65,2.1
253,Charleston So. (Big South),32,19-13,87,2.7
206,Charlotte (Atlantic 10),33,21-12,103,3.1
318,Chattanooga (SoCon),32,13-19,65,2
235,Chicago St. (GWC),33,11-22,94,2.8
6,Cincinnati (AAC),34,22-12,208,6.1
38,Clemson (ACC),31,13-18,148,4.8
224,Cleveland St. (Horizon),32,14-18,95,3
313,Coastal Carolina (Big South),29,14-15,61,2.1
78,Col. of Charleston (SoCon),35,24-11,150,4.3
236,Colgate (Patriot),32,11-21,91,2.8
312,Colorado St. (Mountain West),35,26-9,74,2.1
203,Colorado (Pac-12),33,21-12,105,3.2
269,Columbia (Ivy League),28,12-16,72,2.6
326,Coppin St. (MEAC),32,8-24,57,1.8
152,Cornell (Ivy League),31,13-18,112,3.6
271,Creighton (MVC),36,28-8,92,2.6
325,CSU Bakersfield (Independent),30,14-16,56,1.9
210,CSUN (Big West),31,14-17,96,3.1
277,Dartmouth (Ivy League),28,9-19,70,2.5
221,Davidson (SoCon),34,26-8,101,3
267,Dayton (Atlantic 10),31,17-14,80,2.6
12,Delaware St. (MEAC),33,15-18,185,5.6
49,Delaware (CAA),33,19-14,151,4.6
56,Denver (WAC),32,22-10,145,4.5
88,DePaul (AAC),32,11-21,133,4.2
172,Detroit Mercy (Horizon),33,20-13,112,3.4
307,Drake (MVC),32,15-17,70,2.2
324,Drexel (CAA),31,13-18,58,1.9
135,Duke (ACC),36,30-6,135,3.8
157,Duquesne (Atlantic 10),30,8-22,107,3.6
62,East Carolina (C-USA),35,23-12,156,4.5
315,Eastern Ill. (OVC),32,11-21,67,2.1
308,Eastern Ky. (OVC),35,25-10,76,2.2
28,Eastern Mich. (MAC),34,16-18,169,5
11,Eastern Wash. (Big Sky),31,10-21,176,5.7
171,Elon (SoCon),33,21-12,113,3.4
301,ETSU (ASUN),32,10-22,71,2.2
227,Evansville (MVC),36,21-15,106,2.9
123,Fairfield (MAAC),35,19-16,134,3.8
