Rank,Team,GM,W-L,FT,FTA,FT%
216,A&M-Corpus Christi (Southland),29,6-23,340,500,68
107,Air Force (Mountain West),32,18-14,379,531,71.4
308,Akron (MAC),33,26-7,436,678,64.3
327,Alabama A&M (SWAC),31,11-20,410,651,63
340,Alabama St. (SWAC),32,10-22,343,575,59.7
154,Alabama (SEC),36,23-13,455,648,70.2
43,Albany (NY) (America East),35,24-11,516,700,73.7
334,Alcorn (SWAC),34,10-24,438,705,62.1
120,American (Patriot),30,10-20,326,460,70.9
193,App State (SoCon),31,15-16,456,662,68.9
297,Arizona St. (Pac-12),35,22-13,458,706,64.9
22,Arizona (Pac-12),35,27-8,541,722,74.9
326,Ark.-Pine Bluff (SWAC),30,16-14,355,563,63.1
211,Arkansas St. (Sun Belt),31,19-12,520,762,68.2
242,Arkansas (SEC),32,19-13,462,687,67.2
47,Army West Point (Patriot),31,16-15,461,629,73.3
160,Auburn (SEC),32,9-23,439,627,70
239,Austin Peay (OVC),31,8-23,426,633,67.3
293,Ball St. (MAC),30,15-15,468,718,65.2
182,Baylor (Big 12),37,23-14,550,795,69.2
50,Belmont (OVC),33,26-7,442,604,73.2
333,Bethune-Cookman (MEAC),34,14-20,463,742,62.4
304,Binghamton (America East),30,3-27,344,533,64.5
25,Boise St. (Mountain West),32,21-11,446,597,74.7
110,Boston College (ACC),33,16-17,481,676,71.2
64,Boston U. (America East),30,17-13,317,436,72.7
102,Bowling Green (MAC),32,13-19,346,484,71.5
77,Bradley (MVC),35,18-17,434,600,72.3
324,Brown (Ivy League),28,13-15,323,512,63.1
82,Bryant (NEC),31,19-12,453,627,72.2
36,Bucknell (Patriot),34,28-6,484,652,74.2
146,Buffalo (MAC),34,14-20,472,671,70.3
171,Butler (Atlantic 10),36,27-9,518,744,69.6
60,BYU (WCC),36,24-12,566,777,72.8
70,Cal Poly (Big West),32,18-14,409,564,72.5
10,Cal St. Fullerton (Big West),32,14-18,475,627,75.8
104,California (Pac-12),33,21-12,418,585,71.5
116,Campbell (Big South),33,13-20,439,619,70.9
99,Canisius (MAAC),34,20-14,472,659,71.6
322,Central Ark. (Southland),30,13-17,368,582,63.2
49,Central Conn. St. (NEC),30,13-17,404,552,73.2
51,Central Mich. (MAC),31,11-20,482,659,73.1
128,Charleston So. (Big South),32,19-13,428,605,70.7
289,Charlotte (Atlantic 10),33,21-12,529,809,65.4
265,Chattanooga (SoCon),32,13-19,527,793,66.5
66,Chicago St. (GWC),33,11-22,362,498,72.7
302,Cincinnati (AAC),34,22-12,450,696,64.7
288,Clemson (ACC),31,13-18,356,544,65.4
124,Cleveland St. (Horizon),32,14-18,379,535,70.8
283,Coastal Carolina (Big South),29,14-15,385,587,65.6
203,Col. of Charleston (SoCon),35,24-11,482,703,68.6
129,Colgate (Patriot),32,11-21,343,485,70.7
103,Colorado St. (Mountain West),35,26-9,611,855,71.5
202,Colorado (Pac-12),33,21-12,502,732,68.6
27,Columbia (Ivy League),28,12-16,357,479,74.5
173,Coppin St. (MEAC),32,8-24,418,601,69.6
144,Cornell (Ivy League),31,13-18,368,523,70.4
9,Creighton (MVC),36,28-8,489,644,75.9
161,CSU Bakersfield (Independent),30,14-16,422,603,70
48,CSUN (Big West),31,14-17,534,729,73.3
57,Dartmouth (Ivy League),28,9-19,364,499,72.9
1,Davidson (SoCon),34,26-8,560,704,79.5
97,Dayton (Atlantic 10),31,17-14,471,657,71.7
190,Delaware St. (MEAC),33,15-18,396,574,69
14,Delaware (CAA),33,19-14,580,769,75.4
88,Denver (WAC),32,22-10,346,481,71.9
142,DePaul (AAC),32,11-21,435,618,70.4
59,Detroit Mercy (Horizon),33,20-13,518,711,72.9
96,Drake (MVC),32,15-17,467,651,71.7
28,Drexel (CAA),31,13-18,412,553,74.5
39,Duke (ACC),36,30-6,588,796,73.9
307,Duquesne (Atlantic 10),30,8-22,356,553,64.4
100,East Carolina (C-USA),35,23-12,561,784,71.6
266,Eastern Ill. (OVC),32,11-21,359,541,66.4
4,Eastern Ky. (OVC),35,25-10,503,645,78
249,Eastern Mich. (MAC),34,16-18,357,533,67
286,Eastern Wash. (Big Sky),31,10-21,380,580,65.5
108,Elon (SoCon),33,21-12,387,543,71.3
256,ETSU (ASUN),32,10-22,370,554,66.8
38,Evansville (MVC),36,21-15,483,652,74.1
204,Fairfield (MAAC),35,19-16,365,533,68.5
244,Fairleigh Dickinson (NEC),31,7-24,396,590,67.1
231,FGCU (ASUN),37,26-11,497,736,67.5
130,FIU (Sun Belt),32,18-14,454,642,70.7
158,Fla. Atlantic (Sun Belt),32,14-18,433,618,70.1
329,Florida A&M (MEAC),31,8-23,380,606,62.7
45,Florida St. (ACC),34,18-16,522,710,73.5
224,Florida (SEC),37,29-8,422,623,67.7
237,Fordham (Atlantic 10),31,7-24,393,583,67.4
257,Fresno St. (Mountain West),30,11-19,396,593,66.8
187,Furman (SoCon),31,7-24,392,568,69
197,Ga. Southern (SoCon),33,14-19,423,615,68.8
101,Gardner-Webb (Big South),34,21-13,464,649,71.5
72,George Mason (CAA),38,22-16,540,745,72.5
281,George Washington (Atlantic 10),30,13-17,440,670,65.7
218,Georgetown (AAC),32,25-7,407,599,67.9
109,Georgia St. (CAA),31,15-16,417,586,71.2
320,Georgia Tech (ACC),31,16-15,318,501,63.5
177,Georgia (SEC),32,15-17,486,700,69.4
136,Gonzaga (WCC),35,32-3,548,777,70.5
343,Grambling (SWAC),28,0-28,210,358,58.7
21,Green Bay (Horizon),34,18-16,529,704,75.1
261,Hampton (MEAC),31,14-17,445,668,66.6
168,Hartford (America East),31,17-14,338,485,69.7
78,Harvard (Ivy League),30,20-10,504,697,72.3
200,Hawaii (Big West),32,17-15,469,683,68.7
95,High Point (Big South),31,17-14,437,609,71.8
330,Hofstra (CAA),32,7-25,416,664,62.7
