Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
246,A&M-Corpus Christi (Southland),29,6-23,651,"1,466",44.4
267,Air Force (Mountain West),32,18-14,764,"1,702",44.9
36,Akron (MAC),33,26-7,723,"1,831",39.5
256,Alabama A&M (SWAC),31,11-20,783,"1,753",44.7
191,Alabama St. (SWAC),32,10-22,780,"1,807",43.2
64,Alabama (SEC),36,23-13,750,"1,853",40.5
166,Albany (NY) (America East),35,24-11,787,"1,848",42.6
34,Alcorn (SWAC),34,10-24,740,"1,876",39.4
233,American (Patriot),30,10-20,695,"1,576",44.1
304,App State (SoCon),31,15-16,814,"1,781",45.7
90,Arizona St. (Pac-12),35,22-13,861,"2,098",41
93,Arizona (Pac-12),35,27-8,784,"1,909",41.1
63,Ark.-Pine Bluff (SWAC),30,16-14,676,"1,672",40.4
101,Arkansas St. (Sun Belt),31,19-12,687,"1,666",41.2
198,Arkansas (SEC),32,19-13,747,"1,726",43.3
121,Army West Point (Patriot),31,16-15,730,"1,749",41.7
179,Auburn (SEC),32,9-23,738,"1,717",43
302,Austin Peay (OVC),31,8-23,880,"1,928",45.6
254,Ball St. (MAC),30,15-15,716,"1,604",44.6
73,Baylor (Big 12),37,23-14,884,"2,176",40.6
109,Belmont (OVC),33,26-7,725,"1,748",41.5
293,Bethune-Cookman (MEAC),34,14-20,788,"1,736",45.4
213,Binghamton (America East),30,3-27,746,"1,709",43.7
214,Boise St. (Mountain West),32,21-11,709,"1,623",43.7
276,Boston College (ACC),33,16-17,826,"1,833",45.1
151,Boston U. (America East),30,17-13,689,"1,627",42.3
167,Bowling Green (MAC),32,13-19,729,"1,711",42.6
245,Bradley (MVC),35,18-17,831,"1,872",44.4
150,Brown (Ivy League),28,13-15,636,"1,503",42.3
265,Bryant (NEC),31,19-12,797,"1,777",44.9
4,Bucknell (Patriot),34,28-6,703,"1,864",37.7
132,Buffalo (MAC),34,14-20,796,"1,896",42
117,Butler (Atlantic 10),36,27-9,807,"1,938",41.6
136,BYU (WCC),36,24-12,872,"2,072",42.1
311,Cal Poly (Big West),32,18-14,715,"1,552",46.1
335,Cal St. Fullerton (Big West),32,14-18,866,"1,816",47.7
31,California (Pac-12),33,21-12,753,"1,915",39.3
288,Campbell (Big South),33,13-20,852,"1,882",45.3
240,Canisius (MAAC),34,20-14,853,"1,928",44.2
299,Central Ark. (Southland),30,13-17,845,"1,856",45.5
283,Central Conn. St. (NEC),30,13-17,849,"1,878",45.2
337,Central Mich. (MAC),31,11-20,806,"1,686",47.8
116,Charleston So. (Big South),32,19-13,767,"1,842",41.6
84,Charlotte (Atlantic 10),33,21-12,751,"1,835",40.9
273,Chattanooga (SoCon),32,13-19,810,"1,801",45
238,Chicago St. (GWC),33,11-22,758,"1,714",44.2
14,Cincinnati (AAC),34,22-12,716,"1,851",38.7
108,Clemson (ACC),31,13-18,669,"1,613",41.5
315,Cleveland St. (Horizon),32,14-18,752,"1,629",46.2
100,Coastal Carolina (Big South),29,14-15,616,"1,494",41.2
79,Col. of Charleston (SoCon),35,24-11,812,"1,992",40.8
183,Colgate (Patriot),32,11-21,791,"1,839",43
105,Colorado St. (Mountain West),35,26-9,767,"1,852",41.4
52,Colorado (Pac-12),33,21-12,769,"1,918",40.1
209,Columbia (Ivy League),28,12-16,587,"1,349",43.5
250,Coppin St. (MEAC),32,8-24,813,"1,827",44.5
308,Cornell (Ivy League),31,13-18,752,"1,635",46
77,Creighton (MVC),36,28-8,845,"2,074",40.7
277,CSU Bakersfield (Independent),30,14-16,688,"1,526",45.1
328,CSUN (Big West),31,14-17,809,"1,727",46.8
237,Dartmouth (Ivy League),28,9-19,622,"1,407",44.2
85,Davidson (SoCon),34,26-8,739,"1,805",40.9
207,Dayton (Atlantic 10),31,17-14,719,"1,655",43.4
208,Delaware St. (MEAC),33,15-18,771,"1,772",43.5
96,Delaware (CAA),33,19-14,811,"1,972",41.1
195,Denver (WAC),32,22-10,623,"1,442",43.2
329,DePaul (AAC),32,11-21,881,"1,879",46.9
320,Detroit Mercy (Horizon),33,20-13,833,"1,793",46.5
255,Drake (MVC),32,15-17,791,"1,772",44.6
204,Drexel (CAA),31,13-18,659,"1,519",43.4
115,Duke (ACC),36,30-6,852,"2,049",41.6
271,Duquesne (Atlantic 10),30,8-22,815,"1,813",45
185,East Carolina (C-USA),35,23-12,922,"2,142",43
314,Eastern Ill. (OVC),32,11-21,707,"1,532",46.1
287,Eastern Ky. (OVC),35,25-10,784,"1,732",45.3
43,Eastern Mich. (MAC),34,16-18,688,"1,735",39.7
184,Eastern Wash. (Big Sky),31,10-21,818,"1,901",43
81,Elon (SoCon),33,21-12,745,"1,825",40.8
306,ETSU (ASUN),32,10-22,807,"1,761",45.8
258,Evansville (MVC),36,21-15,848,"1,895",44.7
66,Fairfield (MAAC),35,19-16,697,"1,721",40.5
325,Fairleigh Dickinson (NEC),31,7-24,880,"1,883",46.7
70,FGCU (ASUN),37,26-11,866,"2,133",40.6
279,FIU (Sun Belt),32,18-14,784,"1,737",45.1
92,Fla. Atlantic (Sun Belt),32,14-18,769,"1,873",41.1
261,Florida A&M (MEAC),31,8-23,785,"1,753",44.8
221,Florida St. (ACC),34,18-16,825,"1,886",43.7
9,Florida (SEC),37,29-8,725,"1,897",38.2
264,Fordham (Atlantic 10),31,7-24,791,"1,765",44.8
98,Fresno St. (Mountain West),30,11-19,612,"1,486",41.2
313,Furman (SoCon),31,7-24,806,"1,747",46.1
224,Ga. Southern (SoCon),33,14-19,756,"1,724",43.9
152,Gardner-Webb (Big South),34,21-13,745,"1,759",42.4
103,George Mason (CAA),38,22-16,822,"1,990",41.3
138,George Washington (Atlantic 10),30,13-17,705,"1,674",42.1
5,Georgetown (AAC),32,25-7,623,"1,649",37.8
211,Georgia St. (CAA),31,15-16,708,"1,625",43.6
50,Georgia Tech (ACC),31,16-15,687,"1,715",40.1
17,Georgia (SEC),32,15-17,661,"1,704",38.8
12,Gonzaga (WCC),35,32-3,735,"1,909",38.5
307,Grambling (SWAC),28,0-28,772,"1,683",45.9
95,Green Bay (Horizon),34,18-16,741,"1,802",41.1
21,Hampton (MEAC),31,14-17,670,"1,719",39
230,Hartford (America East),31,17-14,660,"1,499",44
234,Harvard (Ivy League),30,20-10,707,"1,602",44.1
144,Hawaii (Big West),32,17-15,808,"1,915",42.2
128,High Point (Big South),31,17-14,712,"1,699",41.9
203,Hofstra (CAA),32,7-25,755,"1,741",43.4
131,Holy Cross (Patriot),30,12-18,691,"1,647",42
156,Houston Baptist (GWC),31,14-17,726,"1,713",42.4
188,Houston (C-USA),33,20-13,871,"2,021",43.1
89,Howard (MEAC),31,7-24,646,"1,575",41
252,Idaho St. (Big Sky),30,6-24,679,"1,524",44.6
260,Idaho (WAC),30,12-18,758,"1,693",44.8
153,Illinois St. (MVC),33,18-15,796,"1,879",42.4
157,Illinois (Big Ten),36,23-13,810,"1,911",42.4
112,Indiana St. (MVC),33,18-15,748,"1,802",41.5
23,Indiana (Big Ten),36,29-7,815,"2,089",39
275,Iona (MAAC),34,20-14,938,"2,083",45
175,Iowa St. (Big 12),35,23-12,890,"2,076",42.9
27,Iowa (Big Ten),38,25-13,850,"2,168",39.2
341,IUPUI (Summit League),32,6-26,901,"1,853",48.6
270,Jackson St. (SWAC),29,11-18,740,"1,647",44.9
285,Jacksonville St. (OVC),28,17-11,648,"1,433",45.2
239,Jacksonville (ASUN),32,14-18,805,"1,820",44.2
171,James Madison (CAA),36,21-15,798,"1,865",42.8
336,Kansas City (Summit League),32,8-24,790,"1,654",47.8
127,Kansas St. (Big 12),35,27-8,750,"1,792",41.9
1,Kansas (Big 12),37,31-6,788,"2,183",36.1
344,Kennesaw St. (ASUN),30,3-27,742,"1,499",49.5
205,Kent St. (MAC),35,21-14,823,"1,897",43.4
30,Kentucky (SEC),33,21-12,763,"1,944",39.2
301,La Salle (Atlantic 10),34,24-10,872,"1,912",45.6
318,Lafayette (Patriot),34,19-15,864,"1,864",46.4
284,Lamar University (Southland),31,3-28,903,"1,997",45.2
114,Lehigh (Patriot),31,21-10,738,"1,776",41.6
142,Liberty (Big South),36,15-21,879,"2,084",42.2
263,Lipscomb (ASUN),30,12-18,776,"1,732",44.8
145,Little Rock (Sun Belt),32,17-15,718,"1,701",42.2
327,LIU (NEC),34,20-14,958,"2,046",46.8
241,LMU (CA) (WCC),34,11-23,802,"1,809",44.3
216,Long Beach St. (Big West),33,19-14,844,"1,930",43.7
339,Longwood (Big South),33,8-25,977,"2,025",48.2
58,Louisiana Tech (WAC),34,27-7,771,"1,912",40.3
197,Louisiana (Sun Belt),33,13-20,822,"1,901",43.2
37,Louisville (AAC),40,35-5,825,"2,089",39.5
193,Loyola Chicago (Horizon),31,15-16,709,"1,642",43.2
104,Loyola Maryland (MAAC),35,23-12,768,"1,855",41.4
140,LSU (SEC),31,19-12,751,"1,782",42.1
120,Maine (America East),30,11-19,740,"1,773",41.7
61,Manhattan (MAAC),32,14-18,622,"1,539",40.4
242,Marist (MAAC),31,10-21,799,"1,802",44.3
59,Marquette (AAC),35,26-9,776,"1,922",40.4
231,Marshall (C-USA),32,13-19,824,"1,871",44
11,Maryland (ACC),38,25-13,865,"2,249",38.5
141,Massachusetts (Atlantic 10),33,21-12,833,"1,976",42.2
196,McNeese (Southland),31,14-17,776,"1,796",43.2
65,Memphis (C-USA),36,31-5,825,"2,038",40.5
38,Mercer (ASUN),36,24-12,719,"1,820",39.5
48,Miami (FL) (ACC),36,29-7,795,"1,987",40
323,Miami (OH) (MAC),31,9-22,747,"1,600",46.7
22,Michigan St. (Big Ten),36,27-9,758,"1,943",39
155,Michigan (Big Ten),39,31-8,941,"2,221",42.4
41,Middle Tenn. (Sun Belt),34,28-6,674,"1,704",39.6
278,Milwaukee (Horizon),32,8-24,842,"1,867",45.1
44,Minnesota (Big Ten),34,21-13,720,"1,813",39.7
226,Mississippi St. (SEC),32,10-22,829,"1,890",43.9
322,Mississippi Val. (SWAC),28,5-23,739,"1,585",46.6
289,Missouri St. (MVC),33,11-22,748,"1,652",45.3
56,Missouri (SEC),34,23-11,812,"2,015",40.3
309,Monmouth (NEC),31,10-21,771,"1,676",46
