Rank,Team,GM,W-L,Fouls,PFPG,DQ
297,A&M-Corpus Christi (Southland),29,6-23,568,19.6,7
153,Air Force (Mountain West),32,18-14,557,17.4,7
163,Akron (MAC),33,26-7,577,17.5,8
189,Alabama A&M (SWAC),31,11-20,550,17.7,8
246,Alabama St. (SWAC),32,10-22,598,18.7,13
137,Alabama (SEC),36,23-13,619,17.2,11
61,Albany (NY) (America East),35,24-11,564,16.1,7
315,Alcorn (SWAC),34,10-24,677,19.9,26
10,American (Patriot),30,10-20,431,14.4,3
237,App State (SoCon),31,15-16,575,18.5,14
45,Arizona St. (Pac-12),35,22-13,553,15.8,9
93,Arizona (Pac-12),35,27-8,584,16.7,16
193,Ark.-Pine Bluff (SWAC),30,16-14,533,17.8,11
166,Arkansas St. (Sun Belt),31,19-12,543,17.5,17
320,Arkansas (SEC),32,19-13,649,20.3,12
285,Army West Point (Patriot),31,16-15,600,19.4,9
332,Auburn (SEC),32,9-23,657,20.5,15
46,Austin Peay (OVC),31,8-23,490,15.8,6
138,Ball St. (MAC),30,15-15,516,17.2,5
120,Baylor (Big 12),37,23-14,632,17.1,13
228,Belmont (OVC),33,26-7,606,18.4,5
331,Bethune-Cookman (MEAC),34,14-20,698,20.5,20
108,Binghamton (America East),30,3-27,507,16.9,13
248,Boise St. (Mountain West),32,21-11,599,18.7,17
42,Boston College (ACC),33,16-17,519,15.7,9
99,Boston U. (America East),30,17-13,504,16.8,5
59,Bowling Green (MAC),32,13-19,515,16.1,2
170,Bradley (MVC),35,18-17,614,17.5,15
101,Brown (Ivy League),28,13-15,471,16.8,6
79,Bryant (NEC),31,19-12,512,16.5,10
16,Bucknell (Patriot),34,28-6,498,14.6,2
240,Buffalo (MAC),34,14-20,632,18.6,10
202,Butler (Atlantic 10),36,27-9,644,17.9,13
255,BYU (WCC),36,24-12,678,18.8,12
129,Cal Poly (Big West),32,18-14,549,17.2,5
241,Cal St. Fullerton (Big West),32,14-18,595,18.6,21
89,California (Pac-12),33,21-12,549,16.6,13
249,Campbell (Big South),33,13-20,619,18.8,15
115,Canisius (MAAC),34,20-14,578,17,14
337,Central Ark. (Southland),30,13-17,627,20.9,20
62,Central Conn. St. (NEC),30,13-17,485,16.2,4
82,Central Mich. (MAC),31,11-20,514,16.6,7
48,Charleston So. (Big South),32,19-13,507,15.8,7
308,Charlotte (Atlantic 10),33,21-12,651,19.7,18
196,Chattanooga (SoCon),32,13-19,570,17.8,4
328,Chicago St. (GWC),33,11-22,675,20.5,18
198,Cincinnati (AAC),34,22-12,606,17.8,15
57,Clemson (ACC),31,13-18,497,16,8
299,Cleveland St. (Horizon),32,14-18,627,19.6,9
238,Coastal Carolina (Big South),29,14-15,538,18.6,13
9,Col. of Charleston (SoCon),35,24-11,502,14.3,4
168,Colgate (Patriot),32,11-21,561,17.5,9
127,Colorado St. (Mountain West),35,26-9,600,17.1,7
50,Colorado (Pac-12),33,21-12,525,15.9,15
242,Columbia (Ivy League),28,12-16,521,18.6,10
212,Coppin St. (MEAC),32,8-24,577,18,9
189,Cornell (Ivy League),31,13-18,550,17.7,8
68,Creighton (MVC),36,28-8,588,16.3,8
323,CSU Bakersfield (Independent),30,14-16,610,20.3,14
290,CSUN (Big West),31,14-17,605,19.5,13
264,Dartmouth (Ivy League),28,9-19,530,18.9,10
183,Davidson (SoCon),34,26-8,601,17.7,8
311,Dayton (Atlantic 10),31,17-14,613,19.8,12
38,Delaware St. (MEAC),33,15-18,515,15.6,16
104,Delaware (CAA),33,19-14,556,16.8,9
153,Denver (WAC),32,22-10,557,17.4,7
271,DePaul (AAC),32,11-21,612,19.1,8
197,Detroit Mercy (Horizon),33,20-13,588,17.8,14
291,Drake (MVC),32,15-17,625,19.5,14
244,Drexel (CAA),31,13-18,579,18.7,23
204,Duke (ACC),36,30-6,645,17.9,22
157,Duquesne (Atlantic 10),30,8-22,523,17.4,13
179,East Carolina (C-USA),35,23-12,618,17.7,17
80,Eastern Ill. (OVC),32,11-21,529,16.5,10
286,Eastern Ky. (OVC),35,25-10,679,19.4,24
98,Eastern Mich. (MAC),34,16-18,571,16.8,7
230,Eastern Wash. (Big Sky),31,10-21,571,18.4,17
110,Elon (SoCon),33,21-12,558,16.9,6
55,ETSU (ASUN),32,10-22,512,16,15
178,Evansville (MVC),36,21-15,635,17.6,10
307,Fairfield (MAAC),35,19-16,690,19.7,9
230,Fairleigh Dickinson (NEC),31,7-24,571,18.4,16
169,FGCU (ASUN),37,26-11,649,17.5,16
257,FIU (Sun Belt),32,18-14,603,18.8,20
216,Fla. Atlantic (Sun Belt),32,14-18,580,18.1,12
301,Florida A&M (MEAC),31,8-23,608,19.6,15
183,Florida St. (ACC),34,18-16,601,17.7,12
4,Florida (SEC),37,29-8,518,14,8
322,Fordham (Atlantic 10),31,7-24,630,20.3,21
286,Fresno St. (Mountain West),30,11-19,582,19.4,8
35,Furman (SoCon),31,7-24,483,15.6,8
222,Ga. Southern (SoCon),33,14-19,600,18.2,8
134,Gardner-Webb (Big South),34,21-13,584,17.2,11
324,George Mason (CAA),38,22-16,773,20.3,23
177,George Washington (Atlantic 10),30,13-17,528,17.6,7
152,Georgetown (AAC),32,25-7,556,17.4,22
130,Georgia St. (CAA),31,15-16,532,17.2,7
92,Georgia Tech (ACC),31,16-15,517,16.7,9
109,Georgia (SEC),32,15-17,541,16.9,13
43,Gonzaga (WCC),35,32-3,551,15.7,2
173,Grambling (SWAC),28,0-28,492,17.6,10
143,Green Bay (Horizon),34,18-16,587,17.3,5
329,Hampton (MEAC),31,14-17,635,20.5,16
261,Hartford (America East),31,17-14,585,18.9,16
21,Harvard (Ivy League),30,20-10,457,15.2,12
86,Hawaii (Big West),32,17-15,532,16.6,5
243,High Point (Big South),31,17-14,578,18.6,9
100,Hofstra (CAA),32,7-25,538,16.8,14
123,Holy Cross (Patriot),30,12-18,513,17.1,4
311,Houston Baptist (GWC),31,14-17,613,19.8,13
219,Houston (C-USA),33,20-13,599,18.2,11
150,Howard (MEAC),31,7-24,538,17.4,16
44,Idaho St. (Big Sky),30,6-24,473,15.8,5
88,Idaho (WAC),30,12-18,499,16.6,9
219,Illinois St. (MVC),33,18-15,599,18.2,11
209,Illinois (Big Ten),36,23-13,648,18,15
180,Indiana St. (MVC),33,18-15,583,17.7,7
85,Indiana (Big Ten),36,29-7,598,16.6,5
125,Iona (MAAC),34,20-14,582,17.1,14
112,Iowa St. (Big 12),35,23-12,593,16.9,12
117,Iowa (Big Ten),38,25-13,648,17.1,5
47,IUPUI (Summit League),32,6-26,506,15.8,4
297,Jackson St. (SWAC),29,11-18,568,19.6,10
106,Jacksonville St. (OVC),28,17-11,472,16.9,6
278,Jacksonville (ASUN),32,14-18,615,19.2,12
140,James Madison (CAA),36,21-15,620,17.2,11
239,Kansas City (Summit League),32,8-24,594,18.6,3
211,Kansas St. (Big 12),35,27-8,631,18,10
97,Kansas (Big 12),37,31-6,621,16.8,10
317,Kennesaw St. (ASUN),30,3-27,603,20.1,14
292,Kent St. (MAC),35,21-14,684,19.5,17
128,Kentucky (SEC),33,21-12,566,17.2,15
23,La Salle (Atlantic 10),34,24-10,520,15.3,10
37,Lafayette (Patriot),34,19-15,530,15.6,5
70,Lamar University (Southland),31,3-28,508,16.4,11
27,Lehigh (Patriot),31,21-10,478,15.4,9
266,Liberty (Big South),36,15-21,685,19,8
342,Lipscomb (ASUN),30,12-18,657,21.9,14
309,Little Rock (Sun Belt),32,17-15,632,19.8,10
171,LIU (NEC),34,20-14,597,17.6,17
234,LMU (CA) (WCC),34,11-23,629,18.5,26
145,Long Beach St. (Big West),33,19-14,570,17.3,5
206,Longwood (Big South),33,8-25,592,17.9,13
227,Louisiana Tech (WAC),34,27-7,624,18.4,8
259,Louisiana (Sun Belt),33,13-20,622,18.8,15
221,Louisville (AAC),40,35-5,727,18.2,8
30,Loyola Chicago (Horizon),31,15-16,480,15.5,6
235,Loyola Maryland (MAAC),35,23-12,648,18.5,11
256,LSU (SEC),31,19-12,584,18.8,14
224,Maine (America East),30,11-19,547,18.2,18
