Rank,Team,GM,W-L,OPP PTS,OPP PPG
198,A&M-Corpus Christi (Southland),29,6-23,"1,962",67.7
202,Air Force (Mountain West),32,18-14,"2,170",67.8
71,Akron (MAC),33,26-7,"2,071",62.8
252,Alabama A&M (SWAC),31,11-20,"2,160",69.7
255,Alabama St. (SWAC),32,10-22,"2,231",69.7
17,Alabama (SEC),36,23-13,"2,102",58.4
40,Albany (NY) (America East),35,24-11,"2,123",60.7
158,Alcorn (SWAC),34,10-24,"2,248",66.1
103,American (Patriot),30,10-20,"1,916",63.9
291,App State (SoCon),31,15-16,"2,221",71.6
194,Arizona St. (Pac-12),35,22-13,"2,363",67.5
99,Arizona (Pac-12),35,27-8,"2,226",63.6
171,Ark.-Pine Bluff (SWAC),30,16-14,"1,998",66.6
68,Arkansas St. (Sun Belt),31,19-12,"1,944",62.7
230,Arkansas (SEC),32,19-13,"2,203",68.8
211,Army West Point (Patriot),31,16-15,"2,112",68.1
228,Auburn (SEC),32,9-23,"2,201",68.8
336,Austin Peay (OVC),31,8-23,"2,371",76.5
207,Ball St. (MAC),30,15-15,"2,041",68
164,Baylor (Big 12),37,23-14,"2,456",66.4
119,Belmont (OVC),33,26-7,"2,129",64.5
214,Bethune-Cookman (MEAC),34,14-20,"2,318",68.2
246,Binghamton (America East),30,3-27,"2,081",69.4
140,Boise St. (Mountain West),32,21-11,"2,095",65.5
208,Boston College (ACC),33,16-17,"2,246",68.1
118,Boston U. (America East),30,17-13,"1,935",64.5
95,Bowling Green (MAC),32,13-19,"2,033",63.5
222,Bradley (MVC),35,18-17,"2,396",68.5
112,Brown (Ivy League),28,13-15,"1,800",64.3
280,Bryant (NEC),31,19-12,"2,212",71.4
14,Bucknell (Patriot),34,28-6,"1,966",57.8
189,Buffalo (MAC),34,14-20,"2,287",67.3
102,Butler (Atlantic 10),36,27-9,"2,299",63.9
248,BYU (WCC),36,24-12,"2,502",69.5
82,Cal Poly (Big West),32,18-14,"2,020",63.1
321,Cal St. Fullerton (Big West),32,14-18,"2,381",74.4
114,California (Pac-12),33,21-12,"2,123",64.3
306,Campbell (Big South),33,13-20,"2,395",72.6
261,Canisius (MAAC),34,20-14,"2,385",70.1
343,Central Ark. (Southland),30,13-17,"2,359",78.6
340,Central Conn. St. (NEC),30,13-17,"2,312",77.1
294,Central Mich. (MAC),31,11-20,"2,226",71.8
183,Charleston So. (Big South),32,19-13,"2,144",67
196,Charlotte (Atlantic 10),33,21-12,"2,231",67.6
303,Chattanooga (SoCon),32,13-19,"2,318",72.4
235,Chicago St. (GWC),33,11-22,"2,276",69
22,Cincinnati (AAC),34,22-12,"2,006",59
34,Clemson (ACC),31,13-18,"1,864",60.1
250,Cleveland St. (Horizon),32,14-18,"2,226",69.6
89,Coastal Carolina (Big South),29,14-15,"1,840",63.4
59,Col. of Charleston (SoCon),35,24-11,"2,176",62.2
253,Colgate (Patriot),32,11-21,"2,230",69.7
