Rank,Team,GM,W-L,ST,STPG
212,A&M-Corpus Christi (Southland),29,6-23,184,6.3
202,Air Force (Mountain West),32,18-14,206,6.4
134,Akron (MAC),33,26-7,231,7
252,Alabama A&M (SWAC),31,11-20,182,5.9
219,Alabama St. (SWAC),32,10-22,202,6.3
41,Alabama (SEC),36,23-13,294,8.2
285,Albany (NY) (America East),35,24-11,192,5.5
191,Alcorn (SWAC),34,10-24,221,6.5
345,American (Patriot),30,10-20,101,3.4
153,App State (SoCon),31,15-16,212,6.8
216,Arizona St. (Pac-12),35,22-13,222,6.3
171,Arizona (Pac-12),35,27-8,234,6.7
3,Ark.-Pine Bluff (SWAC),30,16-14,297,9.9
36,Arkansas St. (Sun Belt),31,19-12,256,8.3
9,Arkansas (SEC),32,19-13,295,9.2
308,Army West Point (Patriot),31,16-15,160,5.2
143,Auburn (SEC),32,9-23,222,6.9
226,Austin Peay (OVC),31,8-23,193,6.2
206,Ball St. (MAC),30,15-15,193,6.4
185,Baylor (Big 12),37,23-14,243,6.6
4,Belmont (OVC),33,26-7,322,9.8
107,Bethune-Cookman (MEAC),34,14-20,246,7.2
260,Binghamton (America East),30,3-27,173,5.8
179,Boise St. (Mountain West),32,21-11,212,6.6
276,Boston College (ACC),33,16-17,184,5.6
91,Boston U. (America East),30,17-13,223,7.4
95,Bowling Green (MAC),32,13-19,236,7.4
12,Bradley (MVC),35,18-17,318,9.1
181,Brown (Ivy League),28,13-15,185,6.6
315,Bryant (NEC),31,19-12,158,5.1
344,Bucknell (Patriot),34,28-6,118,3.5
284,Buffalo (MAC),34,14-20,188,5.5
263,Butler (Atlantic 10),36,27-9,206,5.7
47,BYU (WCC),36,24-12,291,8.1
262,Cal Poly (Big West),32,18-14,184,5.8
67,Cal St. Fullerton (Big West),32,14-18,248,7.8
258,California (Pac-12),33,21-12,192,5.8
76,Campbell (Big South),33,13-20,250,7.6
257,Canisius (MAAC),34,20-14,198,5.8
58,Central Ark. (Southland),30,13-17,236,7.9
83,Central Conn. St. (NEC),30,13-17,225,7.5
167,Central Mich. (MAC),31,11-20,208,6.7
98,Charleston So. (Big South),32,19-13,235,7.3
87,Charlotte (Atlantic 10),33,21-12,246,7.5
149,Chattanooga (SoCon),32,13-19,220,6.9
7,Chicago St. (GWC),33,11-22,311,9.4
128,Cincinnati (AAC),34,22-12,240,7.1
167,Clemson (ACC),31,13-18,208,6.7
104,Cleveland St. (Horizon),32,14-18,233,7.3
24,Coastal Carolina (Big South),29,14-15,250,8.6
339,Col. of Charleston (SoCon),35,24-11,149,4.3
333,Colgate (Patriot),32,11-21,148,4.6
