Rank,Team,GM,W-L,Opp TO,TO,Ratio
172,A&M-Corpus Christi (Southland),29,6-23,356,351,0.2
118,Air Force (Mountain West),32,18-14,412,380,1
203,Akron (MAC),33,26-7,449,458,-0.3
292,Alabama A&M (SWAC),31,11-20,384,444,-1.9
277,Alabama St. (SWAC),32,10-22,429,479,-1.6
59,Alabama (SEC),36,23-13,521,451,1.9
223,Albany (NY) (America East),35,24-11,438,468,-0.9
291,Alcorn (SWAC),34,10-24,447,512,-1.9
313,American (Patriot),30,10-20,281,364,-2.8
176,App State (SoCon),31,15-16,423,420,0.1
204,Arizona St. (Pac-12),35,22-13,434,445,-0.3
168,Arizona (Pac-12),35,27-8,465,458,0.2
64,Ark.-Pine Bluff (SWAC),30,16-14,487,433,1.8
32,Arkansas St. (Sun Belt),31,19-12,494,408,2.8
2,Arkansas (SEC),32,19-13,561,372,5.9
253,Army West Point (Patriot),31,16-15,400,437,-1.2
178,Auburn (SEC),32,9-23,430,427,0.1
324,Austin Peay (OVC),31,8-23,403,502,-3.2
298,Ball St. (MAC),30,15-15,388,455,-2.2
107,Baylor (Big 12),37,23-14,482,440,1.1
10,Belmont (OVC),33,26-7,572,440,4
23,Bethune-Cookman (MEAC),34,14-20,521,420,3
336,Binghamton (America East),30,3-27,341,461,-4
88,Boise St. (Mountain West),32,21-11,430,385,1.4
179,Boston College (ACC),33,16-17,379,376,0.1
77,Boston U. (America East),30,17-13,425,375,1.7
157,Bowling Green (MAC),32,13-19,421,410,0.3
39,Bradley (MVC),35,18-17,507,415,2.6
295,Brown (Ivy League),28,13-15,338,396,-2.1
242,Bryant (NEC),31,19-12,368,400,-1
208,Bucknell (Patriot),34,28-6,307,321,-0.4
337,Buffalo (MAC),34,14-20,388,525,-4
288,Butler (Atlantic 10),36,27-9,406,474,-1.9
74,BYU (WCC),36,24-12,493,432,1.7
46,Cal Poly (Big West),32,18-14,381,302,2.5
15,Cal St. Fullerton (Big West),32,14-18,513,401,3.5
271,California (Pac-12),33,21-12,370,417,-1.4
153,Campbell (Big South),33,13-20,469,456,0.4
175,Canisius (MAAC),34,20-14,454,450,0.1
149,Central Ark. (Southland),30,13-17,447,432,0.5
118,Central Conn. St. (NEC),30,13-17,408,378,1
161,Central Mich. (MAC),31,11-20,410,402,0.3
88,Charleston So. (Big South),32,19-13,439,394,1.4
270,Charlotte (Atlantic 10),33,21-12,459,505,-1.4
211,Chattanooga (SoCon),32,13-19,434,449,-0.5
55,Chicago St. (GWC),33,11-22,553,484,2.1
139,Cincinnati (AAC),34,22-12,452,432,0.6
100,Clemson (ACC),31,13-18,394,355,1.3
165,Cleveland St. (Horizon),32,14-18,459,452,0.2
101,Coastal Carolina (Big South),29,14-15,446,410,1.2
330,Col. of Charleston (SoCon),35,24-11,345,467,-3.5
320,Colgate (Patriot),32,11-21,324,423,-3.1
200,Colorado St. (Mountain West),35,26-9,380,389,-0.3
207,Colorado (Pac-12),33,21-12,426,439,-0.4
84,Columbia (Ivy League),28,12-16,349,306,1.5
67,Coppin St. (MEAC),32,8-24,528,472,1.8
138,Cornell (Ivy League),31,13-18,431,412,0.6
287,Creighton (MVC),36,28-8,377,443,-1.8
98,CSU Bakersfield (Independent),30,14-16,462,424,1.3
53,CSUN (Big West),31,14-17,490,423,2.2
166,Dartmouth (Ivy League),28,9-19,384,378,0.2
99,Davidson (SoCon),34,26-8,414,371,1.3
210,Dayton (Atlantic 10),31,17-14,436,450,-0.5
182,Delaware St. (MEAC),33,15-18,454,453,0
290,Delaware (CAA),33,19-14,355,418,-1.9
8,Denver (WAC),32,22-10,503,357,4.6
97,DePaul (AAC),32,11-21,498,457,1.3
5,Detroit Mercy (Horizon),33,20-13,541,361,5.5
219,Drake (MVC),32,15-17,417,440,-0.7
185,Drexel (CAA),31,13-18,365,366,0
16,Duke (ACC),36,30-6,502,383,3.3
302,Duquesne (Atlantic 10),30,8-22,364,437,-2.4
127,East Carolina (C-USA),35,23-12,475,444,0.9
162,Eastern Ill. (OVC),32,11-21,421,413,0.3
4,Eastern Ky. (OVC),35,25-10,613,414,5.7
154,Eastern Mich. (MAC),34,16-18,486,473,0.4
301,Eastern Wash. (Big Sky),31,10-21,341,416,-2.4
72,Elon (SoCon),33,21-12,441,385,1.7
122,ETSU (ASUN),32,10-22,454,423,1
20,Evansville (MVC),36,21-15,518,405,3.1
180,Fairfield (MAAC),35,19-16,474,471,0.1
329,Fairleigh Dickinson (NEC),31,7-24,378,486,-3.5
124,FGCU (ASUN),37,26-11,580,545,0.9
37,FIU (Sun Belt),32,18-14,569,484,2.7
333,Fla. Atlantic (Sun Belt),32,14-18,369,488,-3.7
136,Florida A&M (MEAC),31,8-23,504,484,0.6
234,Florida St. (ACC),34,18-16,465,497,-0.9
24,Florida (SEC),37,29-8,523,414,2.9
341,Fordham (Atlantic 10),31,7-24,347,486,-4.5
71,Fresno St. (Mountain West),30,11-19,399,348,1.7
318,Furman (SoCon),31,7-24,357,451,-3
170,Ga. Southern (SoCon),33,14-19,441,435,0.2
54,Gardner-Webb (Big South),34,21-13,531,459,2.1
123,George Mason (CAA),38,22-16,552,516,0.9
272,George Washington (Atlantic 10),30,13-17,436,479,-1.4
85,Georgetown (AAC),32,25-7,454,407,1.5
56,Georgia St. (CAA),31,15-16,422,358,2.1
201,Georgia Tech (ACC),31,16-15,391,399,-0.3
316,Georgia (SEC),32,15-17,376,466,-2.8
44,Gonzaga (WCC),35,32-3,480,393,2.5
343,Grambling (SWAC),28,0-28,271,491,-7.9
280,Green Bay (Horizon),34,18-16,401,456,-1.6
267,Hampton (MEAC),31,14-17,484,527,-1.4
66,Hartford (America East),31,17-14,497,442,1.8
158,Harvard (Ivy League),30,20-10,409,399,0.3
304,Hawaii (Big West),32,17-15,383,462,-2.5
70,High Point (Big South),31,17-14,429,376,1.7
256,Hofstra (CAA),32,7-25,423,463,-1.3
308,Holy Cross (Patriot),30,12-18,295,372,-2.6
232,Houston Baptist (GWC),31,14-17,505,534,-0.9
167,Houston (C-USA),33,20-13,440,433,0.2
224,Howard (MEAC),31,7-24,434,461,-0.9
132,Idaho St. (Big Sky),30,6-24,384,361,0.8
340,Idaho (WAC),30,12-18,270,404,-4.5
80,Illinois St. (MVC),33,18-15,484,431,1.6
31,Illinois (Big Ten),36,23-13,511,411,2.8
221,Indiana St. (MVC),33,18-15,400,427,-0.8
111,Indiana (Big Ten),36,29-7,509,469,1.1
82,Iona (MAAC),34,20-14,475,421,1.6
181,Iowa St. (Big 12),35,23-12,462,460,0.1
137,Iowa (Big Ten),38,25-13,500,476,0.6
244,IUPUI (Summit League),32,6-26,372,406,-1.1
61,Jackson St. (SWAC),29,11-18,426,370,1.9
26,Jacksonville St. (OVC),28,17-11,445,365,2.9
214,Jacksonville (ASUN),32,14-18,470,488,-0.6
45,James Madison (CAA),36,21-15,490,401,2.5
306,Kansas City (Summit League),32,8-24,401,482,-2.5
42,Kansas St. (Big 12),35,27-8,493,403,2.6
262,Kansas (Big 12),37,31-6,468,517,-1.3
168,Kennesaw St. (ASUN),30,3-27,420,414,0.2
106,Kent St. (MAC),35,21-14,487,447,1.1
255,Kentucky (SEC),33,21-12,390,430,-1.2
30,La Salle (Atlantic 10),34,24-10,486,390,2.8
102,Lafayette (Patriot),34,19-15,466,424,1.2
342,Lamar University (Southland),31,3-28,354,564,-6.8
33,Lehigh (Patriot),31,21-10,424,339,2.7
309,Liberty (Big South),36,15-21,385,478,-2.6
327,Lipscomb (ASUN),30,12-18,404,504,-3.3
116,Little Rock (Sun Belt),32,17-15,522,488,1.1
260,LIU (NEC),34,20-14,441,486,-1.3
130,LMU (CA) (WCC),34,11-23,478,450,0.8
241,Long Beach St. (Big West),33,19-14,451,485,-1
319,Longwood (Big South),33,8-25,446,548,-3.1
6,Louisiana Tech (WAC),34,27-7,590,421,5
121,Louisiana (Sun Belt),33,13-20,498,466,1
3,Louisville (AAC),40,35-5,730,495,5.9
265,Loyola Chicago (Horizon),31,15-16,366,408,-1.4
68,Loyola Maryland (MAAC),35,23-12,477,417,1.7
131,LSU (SEC),31,19-12,470,445,0.8
314,Maine (America East),30,11-19,366,450,-2.8
283,Manhattan (MAAC),32,14-18,465,518,-1.7
258,Marist (MAAC),31,10-21,403,443,-1.3
230,Marquette (AAC),35,26-9,439,471,-0.9
310,Marshall (C-USA),32,13-19,422,506,-2.6
338,Maryland (ACC),38,25-13,404,569,-4.3
233,Massachusetts (Atlantic 10),33,21-12,445,476,-0.9
104,McNeese (Southland),31,14-17,413,375,1.2
125,Memphis (C-USA),36,31-5,557,523,0.9
79,Mercer (ASUN),36,24-12,512,454,1.6
111,Miami (FL) (ACC),36,29-7,425,385,1.1
126,Miami (OH) (MAC),31,9-22,469,441,0.9
252,Michigan St. (Big Ten),36,27-9,447,489,-1.2
40,Michigan (Big Ten),39,31-8,470,368,2.6
60,Middle Tenn. (Sun Belt),34,28-6,530,464,1.9
297,Milwaukee (Horizon),32,8-24,384,453,-2.2
